#time,accel_x,accel_y,accel_z
2387.050477,1184.329507,-75230.577904,3849.070898
2387.053142,-2516.700203,-75843.454302,-17912.983796
2387.055807,-3256.906145,-73851.606007,17172.777854
2387.058473,2516.700203,-72166.195912,2072.576638
2387.061138,-888.247130,-73391.948708,11991.336260
2387.063804,3256.906145,-76456.330700,11251.130318
2387.066469,-2960.823768,-75843.454302,9178.553681
2387.069135,1776.494261,-77528.864398,14804.118840
2387.071800,3108.864956,-75843.454302,1628.453072
2387.074465,-2368.659014,-72472.634111,9326.594869
2387.077131,-1332.370696,-73085.510509,13175.665768
2387.079796,-1924.535449,-72166.195912,7105.977043
2387.082470,3701.029710,-76149.892501,7105.977043
2387.085144,-7254.018232,-77375.645298,-3701.029710
2387.087818,2072.576638,-76149.892501,-8438.347739
2387.090492,-1184.329507,-73391.948708,-9178.553681
2387.093166,-2516.700203,-70940.443115,-6069.688724
2387.095839,888.247130,-72932.291410,-5181.441594
2387.098513,1036.288319,-75383.797003,-1036.288319
2387.101187,1480.411884,-78448.178995,592.164754
2387.103861,-6069.688724,-78448.178995,5181.441594
2387.106535,6069.688724,-76609.549800,4885.359217
2387.109209,-5033.400406,-70021.128517,-6365.771101
2387.111883,3701.029710,-76149.892501,592.164754
2387.114556,4145.153275,-74770.920605,10807.006753
2387.117230,-0.000000,-74311.263306,-13471.748144
2387.119904,444.123565,-71706.538613,1628.453072
2387.122578,2812.782580,-76762.768900,8586.388927
2387.125252,-4589.276840,-78141.740796,-4293.194464
2387.127926,1628.453072,-72319.415011,-7846.182985
2387.130600,-888.247130,-68948.594820,-12879.583391
2387.133274,-6069.688724,-79367.493593,-0.000000
2387.135947,-2664.741391,-77375.645298,-15396.283594
2387.138621,-4293.194464,-73851.606007,-11843.295072
2387.141295,-1924.535449,-73545.167808,-7994.224174
2387.143969,-2368.659014,-73085.510509,-3108.864956
2387.146643,-3997.112087,-76609.549800,7105.977043
2387.149317,2220.617826,-75843.454302,-592.164754
2387.151991,2368.659014,-74158.044206,592.164754
2387.154664,-592.164754,-75537.016103,-2072.576638
2387.157338,-2368.659014,-76303.111601,-11399.171507
2387.160012,-0.000000,-71859.757712,-11695.253884
2387.162686,-1480.411884,-70327.566716,-9326.594869
2387.165360,-1924.535449,-72319.415011,-6217.729913
2387.168034,2368.659014,-74464.482406,4737.318029
2387.170708,2368.659014,-75383.797003,10658.965565
2387.173381,-1776.494261,-73698.386908,-1332.370696
2387.176055,-2220.617826,-75230.577904,3256.906145
2387.178729,-0.000000,-76149.892501,1776.494261
2387.181403,3552.988522,-72625.853210,5625.565159
2387.184077,1628.453072,-71706.538613,7994.224174
2387.186751,2516.700203,-73698.386908,7846.182985
2387.189425,-1776.494261,-76303.111601,-148.041188
2387.192100,-4737.318029,-75230.577904,-1628.453072
2387.194775,6365.771101,-71706.538613,13767.830521
2387.197449,1036.288319,-71553.319513,15692.365970
2387.200124,888.247130,-73391.948708,12731.542202
2387.202798,3404.947333,-76762.768900,10510.924376
2387.205473,1184.329507,-77835.302597,3552.988522
2387.208147,3256.906145,-75383.797003,2368.659014
2387.210822,-2220.617826,-70940.443115,4737.318029
2387.213497,-0.000000,-69101.813920,-4145.153275
2387.216171,5625.565159,-70174.347617,-6809.894666
2387.218846,-4293.194464,-73851.606007,-20429.683999
2387.221520,1184.329507,-72779.072310,15692.365970
