#time,accel_x,accel_y,accel_z
3737.940309,-1627.119368,-114.855485,-9207.581365
3737.942868,-2794.816797,937.986459,-9016.155557
3737.945426,-3292.523898,-765.703232,-8977.870395
3737.947985,-4134.797453,784.845813,-8843.872330
3737.950543,248.853550,172.283227,-9647.860723
3737.953102,57.427742,899.701298,-9207.581365
3737.955547,937.986459,-1780.260014,-9092.725880
3737.957996,689.132909,1684.547110,-8997.012976
3737.960445,-287.138712,-133.998066,-9418.149754
3737.962894,-2086.541307,555.134843,-9226.723946
3737.965343,-2277.967115,823.130974,-9437.292334
3737.967792,-38.285162,-1588.834206,-9054.440718
3737.970241,-1014.556782,19.142581,-9111.868461
3737.972690,1818.545176,229.710970,-8882.157491
3737.975140,1416.550979,1205.982590,-9111.868461
3737.977589,593.420005,-1339.980656,-9092.725880
3737.980038,1129.412267,1761.117434,-8843.872330
3737.982487,-1148.554848,-1473.978722,-9169.296203
3737.984936,-1320.838075,937.986459,-9169.296203
3737.987385,-1148.554848,1588.834206,-8805.587168
3737.989834,-3483.949706,344.566454,-9341.579430
3737.992283,1339.980656,-784.845813,-9265.009107
3737.994733,3292.523898,555.134843,-8499.305875
3737.997182,-3445.664544,459.421939,-8824.729749
3737.999631,-57.427742,-325.423874,-8920.442653
3738.002080,1512.263883,784.845813,-9150.153622
3738.004529,2450.250342,191.425808,-9303.294269
3738.006978,-497.707101,-2431.107762,-8595.018779
3738.009427,1933.400661,1416.550979,-8977.870395
3738.011876,-57.427742,287.138712,-9571.290400
3738.014325,2813.959378,-1225.125171,-9016.155557
3738.016775,1091.127106,765.703232,-8384.450390
3738.019224,-1225.125171,-267.996131,-9073.583299
3738.021673,-76.570323,-95.712904,-8863.014910
3738.024122,-1799.402595,440.279358,-8824.729749
3738.026571,-287.138712,76.570323,-9284.151688
3738.029020,-803.988394,-842.273555,-9437.292334
3738.031469,727.418070,1301.695494,-8939.585234
3738.033918,784.845813,689.132909,-9226.723946
3738.036367,1607.976787,-2947.957443,-9245.866526
3738.038817,1282.552914,1186.840010,-8614.161360
3738.041266,-612.562586,267.996131,-9207.581365
3738.043715,-3445.664544,784.845813,-9379.864592
3738.046164,-4728.217458,1531.406464,-9188.438784
3738.048613,-1167.697429,363.709035,-9667.003304
3738.051062,-114.855485,-3215.953574,-9284.151688
3738.053563,-899.701298,133.998066,-8518.448456
3738.056064,-1646.261949,516.849682,-9054.440718
3738.058564,-1205.982590,-210.568389,-9150.153622
3738.061065,-1569.691626,574.277424,-9322.436850
3738.063566,-1818.545176,363.709035,-9188.438784
3738.066066,-1761.117434,-1952.543242,-9437.292334
3738.068567,-2239.681954,708.275490,-9016.155557
3738.071068,-899.701298,995.414202,-9533.005238
3738.073568,-1512.263883,-1914.258080,-9245.866526
3738.076069,-114.855485,803.988394,-8633.303941
3738.078570,-1493.121302,803.988394,-9418.149754
3738.081070,-976.271621,-19.142581,-9322.436850
3738.083571,-1014.556782,-38.285162,-9092.725880
3738.086072,2526.820666,555.134843,-8863.014910
3738.088572,-4039.084549,-823.130974,-9284.151688
3738.091073,-2756.531635,-95.712904,-9686.145885
3738.093574,2239.681954,-421.136778,-9686.145885
3738.096074,-3388.236802,172.283227,-9150.153622
3738.098575,-1339.980656,-287.138712,-9035.298138
3738.101076,440.279358,1014.556782,-9131.011042
3738.103576,-2833.101958,382.851616,-8958.727814
3738.106077,-2258.824534,-497.707101,-8958.727814
3738.108578,-3235.096155,1244.267752,-9111.868461
3738.111078,593.420005,-689.132909,-9475.577496
3738.113579,-1588.834206,803.988394,-8939.585234
3738.116080,-191.425808,-344.566454,-9647.860723
3738.118581,-689.132909,248.853550,-9016.155557
3738.121081,-1110.269686,-593.420005,-8920.442653
3738.123582,-765.703232,1895.115499,-8767.302006
3738.126083,-2622.533570,535.992262,-9188.438784
3738.128583,-2794.816797,-1339.980656,-9111.868461
3738.131084,-2239.681954,1531.406464,-9016.155557
3738.133585,-1665.404530,-2201.396792,-9686.145885
3738.136085,-708.275490,1091.127106,-9379.864592
3738.138586,3675.375514,2469.392923,-8231.309744
3738.141087,2048.256146,-612.562586,-8977.870395
3738.143587,-2431.107762,-1856.830338,-8863.014910
3738.146088,363.709035,287.138712,-9016.155557
3738.148589,-880.558717,19.142581,-9552.147819
3738.151089,1129.412267,267.996131,-9265.009107
3738.153625,-631.705166,1895.115499,-9092.725880
3738.156161,-229.710970,114.855485,-9035.298138
3738.158696,478.564520,-2986.242605,-9092.725880
3738.161232,38.285162,1091.127106,-8652.446522
3738.163768,746.560651,-325.423874,-9035.298138
3738.166303,-1052.841944,746.560651,-8843.872330
3738.168839,708.275490,1186.840010,-8824.729749
3738.171375,76.570323,-401.994197,-9016.155557
3738.173910,708.275490,-1359.123237,-9054.440718
3738.176446,-1205.982590,784.845813,-9284.151688
3738.178982,-861.416136,765.703232,-9169.296203
3738.181517,-1684.547110,-210.568389,-9073.583299
3738.184053,4536.791650,516.849682,-8518.448456
