freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.346e+01,5.771e+02,4.067e+01,6.412e+02
1.5,9.181e+01,3.329e+02,6.898e+01,4.937e+02
3.1,1.096e+02,4.341e+01,6.037e+01,2.134e+02
4.6,9.084e+01,6.665e+02,5.933e+01,8.167e+02
6.1,1.013e+02,2.536e+03,6.673e+01,2.704e+03
7.7,1.104e+02,4.619e+03,6.849e+01,4.798e+03
9.2,1.119e+02,5.876e+03,7.880e+01,6.066e+03
10.8,1.231e+02,5.932e+03,9.233e+01,6.148e+03
12.3,1.193e+02,8.240e+03,1.037e+02,8.463e+03
13.8,1.393e+02,1.198e+04,1.165e+02,1.224e+04
15.4,1.789e+02,1.589e+04,1.318e+02,1.620e+04
16.9,1.821e+02,1.986e+04,1.484e+02,2.019e+04
18.4,1.859e+02,2.422e+04,1.438e+02,2.455e+04
20.0,2.353e+02,2.973e+04,1.366e+02,3.010e+04
21.5,2.719e+02,3.645e+04,1.292e+02,3.685e+04
23.0,3.332e+02,4.431e+04,1.486e+02,4.480e+04
24.6,3.801e+02,5.367e+04,1.789e+02,5.423e+04
26.1,4.127e+02,6.520e+04,2.056e+02,6.581e+04
27.7,5.618e+02,8.044e+04,2.203e+02,8.123e+04
29.2,7.384e+02,1.001e+05,2.092e+02,1.010e+05
30.7,9.849e+02,1.287e+05,1.968e+02,1.299e+05
32.3,1.304e+03,1.751e+05,1.816e+02,1.766e+05
33.8,1.772e+03,2.474e+05,1.650e+02,2.493e+05
35.3,3.551e+03,4.068e+05,4.170e+02,4.108e+05
36.9,1.174e+04,8.667e+05,3.390e+03,8.818e+05
38.4,2.555e+04,1.466e+06,1.375e+04,1.505e+06
39.9,2.152e+04,1.372e+06,2.536e+04,1.419e+06
41.5,1.292e+04,1.013e+06,2.928e+04,1.055e+06
43.0,9.824e+03,7.298e+05,2.507e+04,7.647e+05
44.6,7.706e+03,5.651e+05,1.982e+04,5.926e+05
46.1,7.555e+03,5.011e+05,1.755e+04,5.262e+05
47.6,9.456e+03,4.869e+05,1.620e+04,5.126e+05
49.2,9.873e+03,4.493e+05,1.253e+04,4.717e+05
50.7,7.126e+03,3.697e+05,8.099e+03,3.849e+05
52.2,5.035e+03,2.871e+05,5.171e+03,2.973e+05
53.8,3.690e+03,2.125e+05,4.577e+03,2.207e+05
55.3,3.110e+03,1.578e+05,5.040e+03,1.659e+05
56.8,3.449e+03,1.319e+05,6.061e+03,1.415e+05
58.4,4.093e+03,1.229e+05,7.541e+03,1.346e+05
59.9,4.277e+03,1.116e+05,1.040e+04,1.263e+05
61.5,4.231e+03,9.935e+04,1.555e+04,1.191e+05
63.0,4.489e+03,8.856e+04,2.415e+04,1.172e+05
64.5,5.677e+03,8.652e+04,3.846e+04,1.307e+05
66.1,7.276e+03,9.692e+04,4.781e+04,1.520e+05
67.6,6.062e+03,1.022e+05,4.285e+04,1.511e+05
69.1,4.953e+03,9.843e+04,3.452e+04,1.379e+05
70.7,6.612e+03,9.204e+04,2.709e+04,1.257e+05
