freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.132e+03,5.329e+01,5.670e+01,1.242e+03
1.6,6.550e+02,9.098e+01,8.212e+01,8.281e+02
3.1,4.213e+01,8.051e+01,7.900e+01,2.016e+02
4.7,4.055e+02,8.274e+01,8.040e+01,5.686e+02
6.2,1.423e+03,7.110e+01,7.807e+01,1.572e+03
7.8,2.300e+03,7.189e+01,8.750e+01,2.460e+03
9.3,2.797e+03,7.360e+01,8.780e+01,2.959e+03
10.9,3.914e+03,7.775e+01,8.104e+01,4.072e+03
12.4,5.270e+03,8.359e+01,8.995e+01,5.444e+03
14.0,6.910e+03,8.789e+01,9.523e+01,7.093e+03
15.5,8.955e+03,9.285e+01,1.013e+02,9.149e+03
17.1,1.126e+04,9.567e+01,1.069e+02,1.146e+04
18.6,1.385e+04,9.720e+01,1.094e+02,1.405e+04
20.2,1.692e+04,9.926e+01,1.085e+02,1.713e+04
21.7,2.015e+04,1.043e+02,1.195e+02,2.037e+04
23.3,2.326e+04,8.759e+01,1.520e+02,2.350e+04
24.8,2.651e+04,1.007e+02,1.762e+02,2.679e+04
26.4,3.119e+04,1.188e+02,2.121e+02,3.152e+04
27.9,3.671e+04,1.293e+02,2.564e+02,3.710e+04
29.5,4.337e+04,1.415e+02,3.073e+02,4.382e+04
31.0,5.100e+04,1.767e+02,3.650e+02,5.154e+04
32.6,5.993e+04,2.244e+02,4.365e+02,6.059e+04
34.1,7.094e+04,2.803e+02,5.115e+02,7.173e+04
35.7,8.449e+04,3.383e+02,5.506e+02,8.538e+04
37.2,9.995e+04,4.205e+02,5.529e+02,1.009e+05
38.8,1.183e+05,5.132e+02,6.228e+02,1.195e+05
40.3,1.396e+05,6.231e+02,7.202e+02,1.409e+05
41.9,1.653e+05,7.014e+02,7.937e+02,1.668e+05
43.4,1.973e+05,7.600e+02,8.729e+02,1.989e+05
45.0,2.383e+05,9.040e+02,9.218e+02,2.402e+05
46.5,2.910e+05,1.056e+03,1.167e+03,2.932e+05
48.1,3.595e+05,1.368e+03,1.545e+03,3.625e+05
49.6,4.576e+05,1.818e+03,1.971e+03,4.614e+05
51.2,5.982e+05,2.605e+03,2.380e+03,6.032e+05
52.7,7.966e+05,3.447e+03,2.986e+03,8.030e+05
54.3,1.093e+06,5.006e+03,4.086e+03,1.102e+06
55.8,1.528e+06,7.504e+03,5.978e+03,1.542e+06
57.4,2.277e+06,1.127e+04,9.858e+03,2.298e+06
58.9,3.619e+06,1.623e+04,1.559e+04,3.651e+06
60.5,5.650e+06,2.364e+04,3.080e+04,5.704e+06
62.0,6.520e+06,3.387e+04,4.746e+04,6.602e+06
63.6,6.131e+06,4.142e+04,5.737e+04,6.230e+06
65.1,5.252e+06,4.265e+04,5.882e+04,5.353e+06
66.7,4.085e+06,3.919e+04,5.084e+04,4.176e+06
68.3,3.112e+06,4.045e+04,4.423e+04,3.196e+06
69.8,2.363e+06,4.855e+04,4.366e+04,2.455e+06
71.4,1.738e+06,5.129e+04,4.372e+04,1.833e+06
72.9,1.283e+06,4.828e+04,4.441e+04,1.376e+06
74.5,9.694e+05,4.541e+04,4.325e+04,1.058e+06
76.0,7.268e+05,4.673e+04,4.141e+04,8.150e+05
77.6,5.789e+05,4.819e+04,3.905e+04,6.661e+05
79.1,4.825e+05,5.107e+04,3.817e+04,5.717e+05
80.7,3.946e+05,5.530e+04,3.959e+04,4.895e+05
82.2,3.057e+05,5.645e+04,4.025e+04,4.024e+05
83.8,2.451e+05,5.116e+04,3.988e+04,3.361e+05
85.3,2.181e+05,3.522e+04,3.375e+04,2.870e+05
86.9,2.007e+05,2.185e+04,2.469e+04,2.472e+05
88.4,1.821e+05,1.802e+04,1.945e+04,2.196e+05
90.0,1.589e+05,1.521e+04,1.631e+04,1.904e+05
91.5,1.439e+05,1.838e+04,1.611e+04,1.784e+05
93.1,1.258e+05,2.414e+04,1.459e+04,1.646e+05
94.6,1.196e+05,3.083e+04,1.622e+04,1.667e+05
96.2,1.191e+05,3.355e+04,1.857e+04,1.712e+05
97.7,1.011e+05,2.430e+04,1.605e+04,1.415e+05
