freq,psd_x,psd_y,psd_z,psd_xyz
0.0,9.257e+02,1.109e+02,8.194e+01,1.119e+03
1.6,7.124e+02,4.946e+02,2.950e+02,1.502e+03
3.1,2.860e+02,4.889e+02,2.971e+02,1.072e+03
4.7,6.323e+02,4.200e+02,3.239e+02,1.376e+03
6.3,1.522e+03,4.280e+02,2.965e+02,2.246e+03
7.8,2.377e+03,4.740e+02,2.850e+02,3.136e+03
9.4,3.377e+03,4.884e+02,2.939e+02,4.160e+03
10.9,4.549e+03,5.226e+02,3.416e+02,5.414e+03
12.5,5.973e+03,5.376e+02,3.615e+02,6.872e+03
14.1,7.700e+03,4.788e+02,3.490e+02,8.528e+03
15.6,9.829e+03,4.893e+02,3.305e+02,1.065e+04
17.2,1.200e+04,5.684e+02,3.046e+02,1.287e+04
18.8,1.404e+04,6.040e+02,3.105e+02,1.496e+04
20.3,1.675e+04,5.542e+02,3.195e+02,1.763e+04
21.9,1.936e+04,4.720e+02,2.994e+02,2.014e+04
23.4,2.327e+04,5.516e+02,2.556e+02,2.408e+04
25.0,2.868e+04,5.893e+02,3.042e+02,2.958e+04
26.6,3.241e+04,6.870e+02,3.826e+02,3.348e+04
28.1,3.350e+04,6.510e+02,4.288e+02,3.458e+04
29.7,3.857e+04,5.802e+02,4.568e+02,3.961e+04
31.3,4.601e+04,6.105e+02,4.242e+02,4.704e+04
32.8,5.408e+04,5.838e+02,4.001e+02,5.506e+04
34.4,6.313e+04,5.981e+02,3.954e+02,6.413e+04
35.9,7.410e+04,6.615e+02,4.226e+02,7.518e+04
37.5,8.793e+04,7.347e+02,4.103e+02,8.907e+04
39.1,1.046e+05,9.061e+02,4.788e+02,1.059e+05
40.6,1.249e+05,1.081e+03,4.866e+02,1.265e+05
42.2,1.512e+05,1.190e+03,5.068e+02,1.529e+05
43.8,1.848e+05,1.314e+03,4.927e+02,1.866e+05
45.3,2.265e+05,1.292e+03,5.873e+02,2.284e+05
46.9,2.744e+05,1.542e+03,7.151e+02,2.767e+05
48.5,3.187e+05,1.500e+03,7.878e+02,3.210e+05
50.0,3.791e+05,1.320e+03,6.769e+02,3.810e+05
51.6,4.713e+05,1.553e+03,8.133e+02,4.737e+05
53.1,5.914e+05,1.685e+03,1.921e+03,5.950e+05
54.7,7.376e+05,2.034e+03,7.798e+03,7.475e+05
56.3,9.849e+05,2.978e+03,2.675e+04,1.015e+06
57.8,1.362e+06,4.823e+03,5.977e+04,1.426e+06
59.4,1.918e+06,6.941e+03,8.527e+04,2.010e+06
61.0,3.046e+06,9.878e+03,1.070e+05,3.163e+06
62.5,4.323e+06,1.385e+04,1.224e+05,4.460e+06
64.1,4.154e+06,1.405e+04,1.055e+05,4.273e+06
65.6,3.278e+06,1.255e+04,6.858e+04,3.359e+06
67.2,2.880e+06,1.627e+04,5.704e+04,2.953e+06
68.8,2.704e+06,2.013e+04,4.971e+04,2.774e+06
70.3,2.358e+06,1.972e+04,3.758e+04,2.416e+06
71.9,1.886e+06,1.658e+04,2.551e+04,1.928e+06
73.5,1.547e+06,1.408e+04,1.892e+04,1.580e+06
75.0,1.230e+06,1.228e+04,1.437e+04,1.256e+06
76.6,9.493e+05,1.068e+04,1.232e+04,9.723e+05
78.2,7.011e+05,9.128e+03,1.039e+04,7.206e+05
79.7,5.318e+05,8.571e+03,9.078e+03,5.494e+05
81.3,4.150e+05,8.985e+03,9.106e+03,4.331e+05
82.8,3.295e+05,8.100e+03,8.761e+03,3.463e+05
84.4,2.895e+05,5.511e+03,6.300e+03,3.013e+05
86.0,2.643e+05,6.288e+03,4.378e+03,2.749e+05
87.5,2.170e+05,7.975e+03,4.090e+03,2.290e+05
89.1,1.680e+05,6.331e+03,2.964e+03,1.773e+05
90.7,1.416e+05,8.036e+03,3.299e+03,1.529e+05
92.2,1.341e+05,1.221e+04,5.320e+03,1.516e+05
93.8,1.217e+05,1.824e+04,8.509e+03,1.484e+05
95.3,1.119e+05,2.921e+04,1.501e+04,1.561e+05
96.9,1.061e+05,3.605e+04,2.050e+04,1.626e+05
98.5,9.003e+04,3.270e+04,2.102e+04,1.438e+05
100.0,7.515e+04,1.985e+04,1.391e+04,1.089e+05
101.6,6.072e+04,1.759e+04,1.182e+04,9.013e+04
103.2,7.302e+04,2.777e+04,1.802e+04,1.188e+05
104.7,1.104e+05,3.165e+04,2.082e+04,1.629e+05
106.3,1.342e+05,2.638e+04,1.778e+04,1.784e+05
107.8,1.343e+05,1.928e+04,1.408e+04,1.676e+05
109.4,1.213e+05,1.205e+04,9.889e+03,1.432e+05
111.0,1.075e+05,1.463e+04,9.455e+03,1.316e+05
112.5,9.492e+04,2.769e+04,1.495e+04,1.376e+05
114.1,9.060e+04,4.009e+04,2.123e+04,1.519e+05
115.7,9.048e+04,4.126e+04,2.297e+04,1.547e+05
117.2,8.935e+04,3.978e+04,2.558e+04,1.547e+05
118.8,9.436e+04,4.472e+04,3.414e+04,1.732e+05
120.4,1.021e+05,5.651e+04,4.366e+04,2.023e+05
121.9,1.132e+05,5.716e+04,4.637e+04,2.168e+05
123.5,1.198e+05,4.742e+04,4.856e+04,2.158e+05
125.0,1.374e+05,5.063e+04,6.380e+04,2.518e+05
126.6,1.482e+05,4.888e+04,7.379e+04,2.708e+05
128.2,1.550e+05,4.384e+04,8.014e+04,2.789e+05
129.7,1.506e+05,3.769e+04,8.027e+04,2.686e+05
131.3,1.023e+05,2.749e+04,5.386e+04,1.837e+05
132.9,4.271e+04,1.483e+04,2.103e+04,7.857e+04
134.4,7.165e+03,5.795e+03,5.005e+03,1.797e+04
136.0,1.756e+03,3.495e+03,2.728e+03,7.979e+03
137.5,1.795e+03,2.503e+03,2.230e+03,6.528e+03
139.1,2.004e+03,2.472e+03,2.246e+03,6.721e+03
140.7,2.324e+03,3.129e+03,2.927e+03,8.379e+03
142.2,3.128e+03,4.172e+03,4.024e+03,1.132e+04
143.8,4.711e+03,4.633e+03,5.089e+03,1.443e+04
145.4,6.619e+03,3.978e+03,6.317e+03,1.691e+04
146.9,1.150e+04,4.659e+03,9.111e+03,2.527e+04
148.5,1.796e+04,5.415e+03,1.264e+04,3.601e+04
150.0,2.246e+04,5.626e+03,1.500e+04,4.309e+04
151.6,2.053e+04,4.672e+03,1.554e+04,4.074e+04
153.2,2.107e+04,4.322e+03,1.661e+04,4.201e+04
154.7,2.350e+04,4.793e+03,1.660e+04,4.489e+04
156.3,2.397e+04,4.764e+03,1.630e+04,4.503e+04
157.9,2.214e+04,4.153e+03,1.499e+04,4.129e+04
159.4,1.943e+04,3.284e+03,1.322e+04,3.593e+04
161.0,1.685e+04,2.764e+03,1.141e+04,3.102e+04
162.6,1.317e+04,2.664e+03,9.407e+03,2.524e+04
164.1,1.052e+04,2.873e+03,8.125e+03,2.152e+04
165.7,9.594e+03,3.234e+03,8.594e+03,2.142e+04
167.2,1.074e+04,3.814e+03,1.047e+04,2.502e+04
168.8,1.098e+04,5.204e+03,1.157e+04,2.776e+04
170.4,9.518e+03,6.000e+03,1.059e+04,2.611e+04
171.9,9.640e+03,6.499e+03,1.159e+04,2.772e+04
173.5,1.090e+04,6.932e+03,1.422e+04,3.206e+04
175.1,9.306e+03,6.879e+03,1.351e+04,2.970e+04
176.6,8.759e+03,6.854e+03,1.231e+04,2.792e+04
178.2,9.861e+03,8.108e+03,1.348e+04,3.145e+04
179.7,9.728e+03,8.647e+03,1.558e+04,3.395e+04
181.3,9.387e+03,8.817e+03,1.549e+04,3.369e+04
