freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.645e+01,1.706e+01,3.058e+02,3.593e+02
1.6,2.922e+01,1.948e+01,1.829e+02,2.316e+02
3.1,1.423e+01,1.477e+01,3.239e+01,6.138e+01
4.7,1.399e+01,1.427e+01,3.668e+02,3.951e+02
6.2,1.403e+01,1.399e+01,1.259e+03,1.287e+03
7.8,1.485e+01,1.507e+01,2.113e+03,2.143e+03
9.4,1.628e+01,1.661e+01,3.158e+03,3.191e+03
10.9,2.169e+01,1.855e+01,4.679e+03,4.719e+03
12.5,2.849e+01,2.277e+01,6.712e+03,6.764e+03
14.0,3.542e+01,2.301e+01,9.361e+03,9.420e+03
15.6,5.567e+01,2.365e+01,1.235e+04,1.243e+04
17.2,1.167e+02,2.744e+01,1.600e+04,1.615e+04
18.7,1.337e+02,4.161e+01,2.056e+04,2.073e+04
20.3,9.639e+01,5.752e+01,2.709e+04,2.724e+04
21.8,2.519e+02,7.960e+01,3.646e+04,3.679e+04
23.4,4.648e+02,1.330e+02,4.488e+04,4.548e+04
25.0,7.243e+02,1.876e+02,5.489e+04,5.580e+04
26.5,1.326e+03,1.855e+02,6.271e+04,6.422e+04
28.1,1.633e+03,1.435e+02,6.684e+04,6.862e+04
29.7,1.760e+03,1.198e+02,8.071e+04,8.259e+04
31.2,2.528e+03,1.007e+02,1.062e+05,1.089e+05
32.8,5.542e+03,1.400e+02,1.546e+05,1.603e+05
34.3,1.432e+04,3.115e+02,2.329e+05,2.475e+05
35.9,2.966e+04,6.042e+02,3.124e+05,3.427e+05
37.5,4.527e+04,8.309e+02,3.513e+05,3.974e+05
39.0,5.556e+04,9.097e+02,3.456e+05,4.021e+05
40.6,5.956e+04,9.536e+02,3.154e+05,3.759e+05
42.1,5.949e+04,1.088e+03,2.750e+05,3.356e+05
43.7,5.663e+04,1.438e+03,2.358e+05,2.939e+05
45.3,5.455e+04,1.844e+03,2.034e+05,2.598e+05
46.8,5.159e+04,2.336e+03,1.843e+05,2.382e+05
48.4,4.506e+04,3.097e+03,1.803e+05,2.285e+05
49.9,3.619e+04,3.761e+03,2.299e+05,2.699e+05
51.5,2.635e+04,4.251e+03,3.039e+05,3.345e+05
53.1,2.025e+04,5.314e+03,2.996e+05,3.251e+05
54.6,1.873e+04,7.940e+03,2.959e+05,3.225e+05
56.2,1.472e+04,8.969e+03,2.624e+05,2.860e+05
57.7,1.843e+04,5.833e+03,1.781e+05,2.024e+05
59.3,2.502e+04,3.374e+03,1.191e+05,1.475e+05
60.9,2.873e+04,2.484e+03,9.543e+04,1.266e+05
62.4,3.921e+04,2.196e+03,8.942e+04,1.308e+05
64.0,2.981e+04,2.477e+03,7.707e+04,1.093e+05
65.5,2.320e+04,2.562e+03,6.051e+04,8.627e+04
67.1,1.831e+04,2.841e+03,4.805e+04,6.920e+04
68.7,1.599e+04,3.977e+03,4.388e+04,6.385e+04
70.2,9.504e+03,4.916e+03,4.223e+04,5.665e+04
71.8,7.414e+03,4.718e+03,3.833e+04,5.047e+04
73.4,7.701e+03,4.373e+03,3.424e+04,4.632e+04
74.9,6.427e+03,4.293e+03,2.986e+04,4.058e+04
76.5,4.132e+03,4.771e+03,2.796e+04,3.687e+04
78.0,3.395e+03,6.396e+03,2.759e+04,3.738e+04
79.6,3.062e+03,1.013e+04,3.015e+04,4.334e+04
81.2,3.172e+03,1.583e+04,3.695e+04,5.596e+04
82.7,3.854e+03,2.207e+04,4.240e+04,6.833e+04
84.3,4.059e+03,2.523e+04,4.191e+04,7.120e+04
85.8,4.194e+03,2.645e+04,4.025e+04,7.089e+04
87.4,3.648e+03,2.424e+04,3.614e+04,6.403e+04
89.0,2.752e+03,2.233e+04,3.431e+04,5.939e+04
90.5,2.389e+03,2.391e+04,3.510e+04,6.141e+04
92.1,2.156e+03,2.766e+04,3.828e+04,6.809e+04
93.6,2.046e+03,3.744e+04,4.379e+04,8.327e+04
95.2,1.689e+03,5.080e+04,4.694e+04,9.944e+04
96.8,1.260e+03,5.683e+04,4.234e+04,1.004e+05
98.3,1.224e+03,5.196e+04,3.250e+04,8.568e+04
99.9,2.049e+03,4.827e+04,2.595e+04,7.627e+04
101.4,3.968e+03,4.953e+04,2.242e+04,7.592e+04
103.0,4.859e+03,4.488e+04,1.807e+04,6.781e+04
104.6,4.851e+03,2.969e+04,1.533e+04,4.988e+04
106.1,5.795e+03,2.047e+04,1.691e+04,4.318e+04
107.7,7.515e+03,2.259e+04,1.939e+04,4.949e+04
109.2,9.816e+03,2.510e+04,2.234e+04,5.725e+04
110.8,1.278e+04,2.845e+04,2.890e+04,7.014e+04
112.4,1.460e+04,4.656e+04,3.853e+04,9.970e+04
113.9,1.258e+04,8.339e+04,4.725e+04,1.432e+05
115.5,1.411e+04,1.063e+05,4.561e+04,1.661e+05
117.0,2.020e+04,9.685e+04,3.494e+04,1.520e+05
118.6,2.402e+04,9.017e+04,3.127e+04,1.455e+05
120.2,2.842e+04,1.037e+05,3.561e+04,1.677e+05
121.7,4.719e+04,1.197e+05,4.024e+04,2.072e+05
123.3,9.539e+04,1.319e+05,4.697e+04,2.742e+05
124.9,1.501e+05,1.489e+05,6.151e+04,3.605e+05
126.4,1.197e+05,1.093e+05,4.133e+04,2.703e+05
