freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.393e+02,8.537e+00,1.347e+01,1.613e+02
1.6,9.504e+01,2.361e+01,6.019e+01,1.788e+02
3.1,3.328e+01,2.577e+01,7.067e+01,1.297e+02
4.7,3.687e+02,2.692e+01,6.960e+01,4.652e+02
6.2,1.290e+03,3.307e+01,7.308e+01,1.396e+03
7.8,2.111e+03,3.564e+01,7.192e+01,2.218e+03
9.3,2.843e+03,3.304e+01,6.881e+01,2.944e+03
10.9,3.620e+03,4.013e+01,7.493e+01,3.735e+03
12.4,4.625e+03,4.258e+01,7.445e+01,4.742e+03
14.0,5.831e+03,4.582e+01,6.862e+01,5.945e+03
15.6,7.150e+03,5.416e+01,7.338e+01,7.277e+03
17.1,8.655e+03,6.311e+01,7.023e+01,8.789e+03
18.7,1.026e+04,7.052e+01,6.904e+01,1.040e+04
20.2,1.199e+04,7.321e+01,6.885e+01,1.213e+04
21.8,1.422e+04,7.110e+01,7.655e+01,1.437e+04
23.3,1.670e+04,7.829e+01,8.308e+01,1.686e+04
24.9,1.883e+04,9.750e+01,8.069e+01,1.900e+04
26.4,2.059e+04,1.060e+02,7.688e+01,2.078e+04
28.0,2.157e+04,1.141e+02,7.808e+01,2.176e+04
29.5,2.196e+04,1.159e+02,8.273e+01,2.216e+04
31.1,2.265e+04,1.187e+02,8.195e+01,2.285e+04
32.7,2.357e+04,1.281e+02,7.776e+01,2.378e+04
34.2,2.463e+04,1.325e+02,8.572e+01,2.485e+04
35.8,2.591e+04,1.387e+02,8.859e+01,2.613e+04
37.3,2.784e+04,1.494e+02,8.339e+01,2.807e+04
38.9,2.891e+04,1.528e+02,8.723e+01,2.915e+04
40.4,2.947e+04,1.586e+02,1.012e+02,2.973e+04
42.0,3.015e+04,1.809e+02,9.814e+01,3.043e+04
43.5,3.032e+04,1.909e+02,1.040e+02,3.062e+04
45.1,3.078e+04,1.880e+02,1.080e+02,3.107e+04
46.7,3.159e+04,1.987e+02,1.121e+02,3.190e+04
48.2,3.266e+04,2.175e+02,1.236e+02,3.300e+04
49.8,3.419e+04,2.461e+02,1.448e+02,3.458e+04
51.3,3.576e+04,2.772e+02,1.532e+02,3.619e+04
52.9,3.766e+04,3.008e+02,1.650e+02,3.812e+04
54.4,4.058e+04,3.272e+02,2.033e+02,4.111e+04
56.0,4.283e+04,3.502e+02,2.300e+02,4.341e+04
57.5,4.629e+04,3.789e+02,2.554e+02,4.692e+04
59.1,5.002e+04,4.212e+02,3.524e+02,5.079e+04
60.7,5.406e+04,5.133e+02,5.146e+02,5.509e+04
62.2,6.321e+04,7.672e+02,7.783e+02,6.476e+04
63.8,7.278e+04,1.129e+03,1.251e+03,7.516e+04
65.3,7.626e+04,1.540e+03,2.059e+03,7.986e+04
66.9,7.857e+04,2.420e+03,3.858e+03,8.485e+04
68.4,8.857e+04,3.566e+03,5.069e+03,9.720e+04
70.0,1.023e+05,4.855e+03,5.290e+03,1.124e+05
71.5,1.170e+05,6.242e+03,6.035e+03,1.293e+05
73.1,1.396e+05,7.174e+03,7.200e+03,1.540e+05
74.6,1.662e+05,7.010e+03,7.458e+03,1.806e+05
76.2,1.921e+05,6.248e+03,5.823e+03,2.042e+05
77.8,2.044e+05,6.566e+03,4.078e+03,2.151e+05
79.3,2.093e+05,8.122e+03,3.251e+03,2.207e+05
80.9,2.503e+05,1.232e+04,3.561e+03,2.662e+05
82.4,3.060e+05,1.812e+04,4.127e+03,3.283e+05
84.0,3.340e+05,2.518e+04,5.295e+03,3.645e+05
85.5,3.074e+05,2.934e+04,7.429e+03,3.442e+05
87.1,2.202e+05,2.560e+04,8.798e+03,2.546e+05
88.6,1.355e+05,1.851e+04,9.146e+03,1.631e+05
90.2,1.004e+05,1.478e+04,9.545e+03,1.247e+05
91.8,8.322e+04,1.287e+04,9.375e+03,1.055e+05
93.3,6.094e+04,8.769e+03,7.587e+03,7.729e+04
