freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.558e+02,7.795e+02,5.995e+01,9.953e+02
1.5,8.540e+02,7.293e+02,2.171e+02,1.800e+03
3.1,1.210e+03,3.848e+02,2.218e+02,1.816e+03
4.6,1.258e+03,9.562e+02,2.231e+02,2.438e+03
6.2,1.147e+03,2.867e+03,2.199e+02,4.234e+03
7.7,1.243e+03,4.618e+03,2.168e+02,6.078e+03
9.2,1.155e+03,5.144e+03,2.283e+02,6.527e+03
10.8,1.147e+03,6.292e+03,2.545e+02,7.694e+03
12.3,1.030e+03,9.229e+03,2.542e+02,1.051e+04
13.8,9.448e+02,1.302e+04,2.701e+02,1.423e+04
15.4,1.104e+03,1.720e+04,2.729e+02,1.858e+04
16.9,1.329e+03,2.149e+04,2.935e+02,2.311e+04
18.5,1.353e+03,2.614e+04,3.051e+02,2.780e+04
20.0,1.414e+03,3.136e+04,2.879e+02,3.307e+04
21.5,1.328e+03,3.717e+04,2.661e+02,3.876e+04
23.1,1.495e+03,4.477e+04,2.485e+02,4.652e+04
24.6,1.473e+03,5.431e+04,2.361e+02,5.602e+04
26.1,1.651e+03,6.575e+04,2.829e+02,6.768e+04
27.7,1.671e+03,8.024e+04,2.877e+02,8.220e+04
29.2,1.679e+03,1.006e+05,2.589e+02,1.026e+05
30.8,1.810e+03,1.304e+05,2.686e+02,1.325e+05
32.3,1.954e+03,1.744e+05,2.633e+02,1.766e+05
33.8,2.474e+03,2.465e+05,2.721e+02,2.493e+05
35.4,2.946e+03,3.845e+05,3.463e+02,3.878e+05
36.9,4.711e+03,7.840e+05,6.675e+02,7.894e+05
38.4,9.831e+03,1.790e+06,1.991e+03,1.802e+06
40.0,1.508e+04,2.374e+06,2.967e+03,2.392e+06
41.5,1.421e+04,2.002e+06,2.870e+03,2.019e+06
43.1,9.832e+03,1.492e+06,2.760e+03,1.505e+06
44.6,7.346e+03,1.095e+06,3.477e+03,1.106e+06
46.1,6.469e+03,8.538e+05,6.214e+03,8.665e+05
47.7,5.859e+03,6.576e+05,7.028e+03,6.705e+05
49.2,5.087e+03,4.857e+05,6.240e+03,4.970e+05
50.7,4.316e+03,3.561e+05,3.870e+03,3.643e+05
52.3,3.569e+03,2.632e+05,3.187e+03,2.699e+05
53.8,3.343e+03,2.030e+05,4.504e+03,2.108e+05
55.4,3.271e+03,1.601e+05,7.444e+03,1.708e+05
56.9,3.249e+03,1.234e+05,9.723e+03,1.363e+05
58.4,3.251e+03,9.153e+04,1.062e+04,1.054e+05
60.0,3.417e+03,6.613e+04,1.313e+04,8.267e+04
61.5,3.902e+03,4.610e+04,1.790e+04,6.790e+04
63.1,4.458e+03,3.407e+04,2.466e+04,6.318e+04
64.6,4.828e+03,4.172e+04,3.057e+04,7.712e+04
66.1,4.776e+03,5.490e+04,3.247e+04,9.214e+04
67.7,4.575e+03,6.024e+04,3.563e+04,1.004e+05
69.2,4.604e+03,6.284e+04,3.515e+04,1.026e+05
70.7,4.161e+03,6.900e+04,3.257e+04,1.057e+05
72.3,3.200e+03,8.128e+04,2.910e+04,1.136e+05
73.8,2.632e+03,8.703e+04,2.320e+04,1.129e+05
75.4,2.814e+03,7.758e+04,1.813e+04,9.853e+04
76.9,3.781e+03,6.283e+04,2.053e+04,8.714e+04
78.4,4.628e+03,5.487e+04,3.118e+04,9.068e+04
80.0,5.232e+03,6.797e+04,5.247e+04,1.257e+05
81.5,5.827e+03,1.124e+05,8.050e+04,1.987e+05
83.0,5.835e+03,1.845e+05,1.062e+05,2.965e+05
84.6,5.064e+03,2.554e+05,1.168e+05,3.772e+05
86.1,5.931e+03,2.979e+05,1.079e+05,4.118e+05
87.7,7.021e+03,3.094e+05,8.729e+04,4.038e+05
89.2,4.865e+03,2.994e+05,6.198e+04,3.663e+05
90.7,3.317e+03,2.762e+05,4.066e+04,3.201e+05
92.3,2.724e+03,2.568e+05,2.453e+04,2.841e+05
93.8,3.075e+03,2.125e+05,1.092e+04,2.265e+05
95.3,3.873e+03,1.784e+05,6.620e+03,1.889e+05
96.9,3.383e+03,1.587e+05,1.013e+04,1.722e+05
98.4,2.346e+03,1.447e+05,1.815e+04,1.652e+05
100.0,1.710e+03,1.406e+05,2.556e+04,1.679e+05
101.5,1.934e+03,1.424e+05,2.985e+04,1.742e+05
103.0,2.637e+03,1.624e+05,3.256e+04,1.976e+05
104.6,3.279e+03,1.670e+05,2.891e+04,1.992e+05
106.1,3.364e+03,1.475e+05,2.101e+04,1.719e+05
107.6,3.345e+03,1.262e+05,1.474e+04,1.443e+05
109.2,3.167e+03,1.222e+05,1.491e+04,1.403e+05
110.7,3.370e+03,1.443e+05,2.078e+04,1.685e+05
112.3,3.508e+03,1.734e+05,2.753e+04,2.045e+05
113.8,3.874e+03,2.091e+05,3.444e+04,2.475e+05
115.3,3.387e+03,2.544e+05,4.170e+04,2.995e+05
116.9,2.910e+03,2.708e+05,4.083e+04,3.146e+05
118.4,4.417e+03,2.625e+05,3.461e+04,3.016e+05
120.0,5.685e+03,2.592e+05,3.004e+04,2.950e+05
