freq,psd_x,psd_y,psd_z,psd_xyz
0.0,5.607e+01,4.725e+01,5.335e+02,6.368e+02
1.6,2.110e+02,1.687e+02,3.358e+02,7.155e+02
3.1,2.405e+02,1.573e+02,9.847e+01,4.962e+02
4.7,2.170e+02,1.412e+02,4.302e+02,7.884e+02
6.2,1.831e+02,1.601e+02,1.301e+03,1.644e+03
7.8,2.149e+02,1.969e+02,2.140e+03,2.552e+03
9.4,2.251e+02,2.268e+02,3.142e+03,3.594e+03
10.9,2.907e+02,2.321e+02,4.360e+03,4.883e+03
12.5,2.605e+02,1.986e+02,5.809e+03,6.268e+03
14.0,2.745e+02,1.920e+02,8.369e+03,8.835e+03
15.6,2.502e+02,1.862e+02,1.178e+04,1.222e+04
17.2,2.227e+02,1.940e+02,1.523e+04,1.565e+04
18.7,2.161e+02,2.382e+02,1.872e+04,1.917e+04
20.3,2.547e+02,2.236e+02,2.338e+04,2.385e+04
21.8,2.785e+02,2.534e+02,2.978e+04,3.031e+04
23.4,2.903e+02,2.912e+02,3.494e+04,3.552e+04
25.0,3.481e+02,2.883e+02,3.928e+04,3.992e+04
26.5,3.795e+02,2.385e+02,4.116e+04,4.178e+04
28.1,3.332e+02,2.153e+02,4.300e+04,4.355e+04
29.6,3.021e+02,2.350e+02,5.079e+04,5.133e+04
31.2,2.986e+02,2.513e+02,6.431e+04,6.485e+04
32.7,2.959e+02,3.237e+02,8.392e+04,8.454e+04
34.3,3.052e+02,4.130e+02,1.119e+05,1.126e+05
35.9,3.145e+02,5.626e+02,1.604e+05,1.613e+05
37.4,4.710e+02,9.278e+02,2.474e+05,2.488e+05
39.0,1.058e+03,1.567e+03,4.138e+05,4.164e+05
40.5,3.186e+03,2.649e+03,7.506e+05,7.564e+05
42.1,5.565e+03,5.056e+03,1.191e+06,1.202e+06
43.7,5.868e+03,7.805e+03,1.441e+06,1.455e+06
45.2,6.490e+03,8.409e+03,1.336e+06,1.351e+06
46.8,5.292e+03,8.624e+03,1.095e+06,1.109e+06
48.3,3.787e+03,7.319e+03,8.634e+05,8.745e+05
49.9,3.010e+03,5.401e+03,7.458e+05,7.542e+05
51.5,2.027e+03,4.947e+03,6.255e+05,6.325e+05
53.0,2.813e+03,7.831e+03,6.097e+05,6.203e+05
54.6,4.640e+03,1.071e+04,6.934e+05,7.088e+05
56.1,4.465e+03,9.799e+03,6.731e+05,6.874e+05
57.7,4.546e+03,5.521e+03,4.304e+05,4.405e+05
59.3,6.819e+03,2.725e+03,2.454e+05,2.550e+05
60.8,1.024e+04,1.415e+03,1.596e+05,1.712e+05
62.4,1.688e+04,7.679e+02,1.167e+05,1.344e+05
63.9,2.508e+04,8.204e+02,9.732e+04,1.232e+05
65.5,2.842e+04,1.691e+03,8.326e+04,1.134e+05
67.1,2.695e+04,2.641e+03,7.402e+04,1.036e+05
68.6,2.875e+04,3.467e+03,6.718e+04,9.939e+04
70.2,3.111e+04,3.790e+03,6.018e+04,9.508e+04
71.7,2.941e+04,3.342e+03,5.108e+04,8.384e+04
73.3,2.741e+04,2.995e+03,4.254e+04,7.294e+04
74.9,2.427e+04,3.301e+03,3.581e+04,6.338e+04
76.4,2.115e+04,5.070e+03,3.107e+04,5.729e+04
78.0,1.948e+04,8.675e+03,2.888e+04,5.703e+04
79.5,1.845e+04,1.542e+04,3.397e+04,6.784e+04
81.1,1.563e+04,2.339e+04,4.319e+04,8.220e+04
82.7,1.200e+04,3.127e+04,4.903e+04,9.231e+04
84.2,1.281e+04,3.942e+04,5.539e+04,1.076e+05
85.8,1.677e+04,4.365e+04,5.735e+04,1.178e+05
