freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.424e+02,7.899e+00,1.174e+01,1.620e+02
1.6,9.882e+01,2.358e+01,5.544e+01,1.778e+02
3.1,4.302e+01,2.638e+01,6.943e+01,1.388e+02
4.7,4.021e+02,2.783e+01,7.837e+01,5.083e+02
6.2,1.338e+03,3.290e+01,8.277e+01,1.454e+03
7.8,2.166e+03,3.843e+01,7.372e+01,2.279e+03
9.3,2.943e+03,3.575e+01,7.007e+01,3.049e+03
10.9,3.814e+03,4.519e+01,7.089e+01,3.930e+03
12.5,4.910e+03,5.015e+01,7.456e+01,5.035e+03
14.0,6.263e+03,4.959e+01,8.523e+01,6.398e+03
15.6,7.765e+03,5.655e+01,8.472e+01,7.906e+03
17.1,9.424e+03,6.926e+01,8.246e+01,9.576e+03
18.7,1.135e+04,8.448e+01,7.605e+01,1.151e+04
20.2,1.366e+04,8.225e+01,7.000e+01,1.381e+04
21.8,1.674e+04,8.423e+01,7.736e+01,1.690e+04
23.4,2.012e+04,1.004e+02,9.176e+01,2.031e+04
24.9,2.260e+04,1.122e+02,8.246e+01,2.279e+04
26.5,2.450e+04,1.262e+02,7.682e+01,2.471e+04
28.0,2.585e+04,1.366e+02,8.054e+01,2.606e+04
29.6,2.656e+04,1.414e+02,7.851e+01,2.678e+04
31.2,2.719e+04,1.411e+02,7.957e+01,2.742e+04
32.7,2.775e+04,1.544e+02,9.161e+01,2.799e+04
34.3,2.866e+04,1.569e+02,8.167e+01,2.890e+04
35.8,2.985e+04,1.656e+02,8.123e+01,3.010e+04
37.4,3.145e+04,1.847e+02,8.985e+01,3.173e+04
38.9,3.169e+04,1.838e+02,8.838e+01,3.197e+04
40.5,3.107e+04,1.876e+02,9.058e+01,3.135e+04
42.1,3.081e+04,1.978e+02,9.314e+01,3.110e+04
43.6,3.039e+04,2.039e+02,9.267e+01,3.069e+04
45.2,3.062e+04,2.205e+02,1.007e+02,3.094e+04
46.7,3.150e+04,2.395e+02,1.144e+02,3.185e+04
48.3,3.244e+04,2.562e+02,1.297e+02,3.282e+04
49.8,3.372e+04,2.871e+02,1.405e+02,3.414e+04
51.4,3.508e+04,3.210e+02,1.432e+02,3.554e+04
53.0,3.720e+04,3.655e+02,1.696e+02,3.773e+04
54.5,4.034e+04,4.223e+02,1.867e+02,4.095e+04
