freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.144e+03,3.377e+01,3.510e+01,1.212e+03
1.6,6.714e+02,5.664e+01,5.080e+01,7.788e+02
3.1,4.167e+01,4.766e+01,3.701e+01,1.263e+02
4.7,3.988e+02,5.216e+01,3.565e+01,4.866e+02
6.2,1.423e+03,4.926e+01,3.892e+01,1.511e+03
7.8,2.342e+03,5.428e+01,5.393e+01,2.450e+03
9.3,2.875e+03,5.359e+01,5.911e+01,2.987e+03
10.9,3.878e+03,5.554e+01,4.685e+01,3.980e+03
12.4,5.235e+03,5.372e+01,4.569e+01,5.334e+03
14.0,6.880e+03,5.311e+01,4.660e+01,6.980e+03
15.5,8.754e+03,5.684e+01,4.771e+01,8.858e+03
17.1,1.095e+04,6.115e+01,5.310e+01,1.106e+04
18.6,1.345e+04,6.078e+01,6.691e+01,1.358e+04
20.2,1.631e+04,7.107e+01,7.898e+01,1.646e+04
21.7,1.943e+04,7.215e+01,7.876e+01,1.958e+04
23.3,2.295e+04,5.764e+01,9.465e+01,2.310e+04
24.9,2.630e+04,7.406e+01,1.163e+02,2.649e+04
26.4,3.018e+04,9.595e+01,1.277e+02,3.040e+04
28.0,3.541e+04,1.066e+02,1.631e+02,3.568e+04
29.5,4.133e+04,1.215e+02,2.039e+02,4.165e+04
31.1,4.813e+04,1.415e+02,2.544e+02,4.853e+04
32.6,5.626e+04,1.763e+02,3.245e+02,5.676e+04
34.2,6.594e+04,2.111e+02,4.097e+02,6.656e+04
35.7,7.702e+04,2.739e+02,4.976e+02,7.779e+04
37.3,9.005e+04,3.445e+02,5.814e+02,9.098e+04
38.8,1.053e+05,4.274e+02,6.706e+02,1.064e+05
40.4,1.240e+05,5.199e+02,7.240e+02,1.253e+05
41.9,1.476e+05,6.303e+02,7.868e+02,1.490e+05
43.5,1.772e+05,8.384e+02,9.285e+02,1.789e+05
45.0,2.135e+05,1.120e+03,1.159e+03,2.158e+05
46.6,2.589e+05,1.482e+03,1.487e+03,2.618e+05
48.2,3.142e+05,1.897e+03,1.847e+03,3.179e+05
49.7,3.914e+05,2.343e+03,2.172e+03,3.960e+05
51.3,4.968e+05,2.879e+03,2.276e+03,5.019e+05
52.8,6.501e+05,3.622e+03,2.299e+03,6.560e+05
54.4,8.689e+05,4.489e+03,2.163e+03,8.756e+05
55.9,1.182e+06,6.301e+03,2.213e+03,1.191e+06
57.5,1.747e+06,8.506e+03,2.564e+03,1.758e+06
59.0,2.735e+06,1.029e+04,3.397e+03,2.748e+06
60.6,4.405e+06,1.349e+04,6.174e+03,4.425e+06
62.1,5.868e+06,1.720e+04,1.376e+04,5.899e+06
63.7,5.717e+06,1.860e+04,1.776e+04,5.753e+06
65.2,4.972e+06,2.710e+04,2.514e+04,5.024e+06
66.8,4.149e+06,4.565e+04,4.208e+04,4.236e+06
68.3,3.164e+06,5.840e+04,5.459e+04,3.277e+06
69.9,2.228e+06,5.876e+04,5.429e+04,2.341e+06
71.5,1.545e+06,4.979e+04,4.367e+04,1.639e+06
73.0,1.150e+06,4.004e+04,3.352e+04,1.224e+06
74.6,8.985e+05,3.613e+04,2.935e+04,9.639e+05
76.1,6.754e+05,3.179e+04,2.597e+04,7.332e+05
77.7,4.827e+05,2.777e+04,2.296e+04,5.335e+05
79.2,3.775e+05,2.714e+04,2.203e+04,4.266e+05
80.8,3.186e+05,2.598e+04,2.086e+04,3.655e+05
82.3,2.709e+05,2.410e+04,1.746e+04,3.125e+05
83.9,2.251e+05,2.277e+04,1.413e+04,2.620e+05
85.4,1.797e+05,2.408e+04,1.333e+04,2.171e+05
87.0,1.474e+05,2.615e+04,1.500e+04,1.886e+05
88.5,1.408e+05,2.073e+04,1.416e+04,1.757e+05
90.1,1.349e+05,1.286e+04,1.068e+04,1.584e+05
91.6,1.348e+05,8.592e+03,8.761e+03,1.521e+05
93.2,1.319e+05,6.049e+03,9.166e+03,1.471e+05
94.8,1.183e+05,4.620e+03,7.298e+03,1.302e+05
96.3,9.881e+04,1.090e+04,4.791e+03,1.145e+05
97.9,9.182e+04,2.340e+04,8.056e+03,1.233e+05
99.4,1.032e+05,3.350e+04,1.527e+04,1.520e+05
101.0,1.247e+05,3.001e+04,1.716e+04,1.719e+05
102.5,1.227e+05,2.097e+04,9.960e+03,1.536e+05
104.1,1.053e+05,2.638e+04,6.250e+03,1.380e+05
105.6,1.021e+05,5.645e+04,1.473e+04,1.733e+05
107.2,1.052e+05,1.180e+05,3.333e+04,2.564e+05
108.7,1.302e+05,1.975e+05,5.557e+04,3.833e+05
110.3,1.646e+05,2.317e+05,6.750e+04,4.638e+05
111.8,1.853e+05,1.879e+05,6.129e+04,4.345e+05
113.4,1.909e+05,1.252e+05,4.972e+04,3.658e+05
114.9,1.907e+05,8.806e+04,4.283e+04,3.215e+05
116.5,1.861e+05,6.731e+04,4.030e+04,2.937e+05
118.1,1.881e+05,5.206e+04,4.044e+04,2.806e+05
119.6,1.909e+05,4.154e+04,3.860e+04,2.710e+05
121.2,1.949e+05,3.857e+04,3.620e+04,2.696e+05
122.7,2.019e+05,3.772e+04,3.508e+04,2.747e+05
124.3,2.004e+05,3.365e+04,3.226e+04,2.663e+05
125.8,1.959e+05,2.782e+04,3.017e+04,2.539e+05
127.4,1.842e+05,2.622e+04,2.743e+04,2.379e+05
128.9,1.750e+05,3.002e+04,2.696e+04,2.320e+05
130.5,1.680e+05,2.886e+04,2.599e+04,2.228e+05
132.0,1.395e+05,3.114e+04,2.186e+04,1.926e+05
133.6,5.054e+04,2.932e+04,1.163e+04,9.150e+04
135.1,9.378e+03,2.758e+04,7.205e+03,4.416e+04
136.7,7.961e+03,2.597e+04,6.849e+03,4.078e+04
138.2,7.845e+03,2.335e+04,6.810e+03,3.801e+04
139.8,7.903e+03,2.022e+04,7.019e+03,3.514e+04
141.4,8.140e+03,1.699e+04,7.467e+03,3.259e+04
142.9,8.548e+03,1.441e+04,7.634e+03,3.060e+04
144.5,8.695e+03,1.311e+04,7.252e+03,2.906e+04
146.0,9.104e+03,1.329e+04,7.155e+03,2.955e+04
147.6,9.286e+03,1.306e+04,7.489e+03,2.983e+04
149.1,9.016e+03,1.171e+04,7.805e+03,2.853e+04
150.7,8.572e+03,9.541e+03,7.345e+03,2.546e+04
152.2,8.446e+03,7.955e+03,7.307e+03,2.371e+04
153.8,8.285e+03,7.140e+03,7.746e+03,2.317e+04
155.3,8.768e+03,6.480e+03,8.501e+03,2.375e+04
156.9,1.041e+04,5.816e+03,9.691e+03,2.592e+04
158.4,1.205e+04,5.426e+03,1.092e+04,2.839e+04
160.0,1.383e+04,5.223e+03,1.229e+04,3.135e+04
161.5,1.567e+04,5.123e+03,1.366e+04,3.445e+04
163.1,1.704e+04,5.417e+03,1.478e+04,3.724e+04
164.7,1.777e+04,6.011e+03,1.590e+04,3.968e+04
166.2,1.806e+04,6.851e+03,1.713e+04,4.204e+04
167.8,2.006e+04,7.799e+03,1.884e+04,4.669e+04
169.3,2.360e+04,9.427e+03,2.114e+04,5.416e+04
170.9,2.449e+04,1.244e+04,2.284e+04,5.978e+04
172.4,2.736e+04,1.521e+04,2.601e+04,6.858e+04
174.0,3.200e+04,1.755e+04,2.920e+04,7.876e+04
175.5,3.900e+04,1.956e+04,3.367e+04,9.222e+04
177.1,5.129e+04,2.147e+04,4.129e+04,1.141e+05
178.6,5.798e+04,2.357e+04,4.675e+04,1.283e+05
180.2,6.160e+04,2.380e+04,4.996e+04,1.354e+05
181.7,7.292e+04,2.169e+04,5.479e+04,1.494e+05
183.3,8.738e+04,2.187e+04,6.152e+04,1.708e+05
184.8,1.078e+05,2.377e+04,7.118e+04,2.027e+05
186.4,1.194e+05,2.457e+04,7.429e+04,2.183e+05
187.9,1.147e+05,2.263e+04,6.844e+04,2.058e+05
189.5,1.121e+05,2.549e+04,6.721e+04,2.048e+05
191.1,1.207e+05,2.765e+04,7.135e+04,2.197e+05
192.6,1.307e+05,2.404e+04,7.412e+04,2.289e+05
194.2,1.494e+05,2.154e+04,8.184e+04,2.528e+05
195.7,1.748e+05,1.945e+04,9.467e+04,2.890e+05
197.3,1.907e+05,1.791e+04,1.050e+05,3.135e+05
198.8,2.124e+05,1.736e+04,1.200e+05,3.497e+05
