freq,psd_x,psd_y,psd_z,psd_xyz
0.0,7.872e+02,1.931e+01,3.919e+01,8.457e+02
1.6,4.469e+02,2.872e+01,3.886e+01,5.145e+02
3.1,3.158e+01,2.175e+01,2.535e+01,7.868e+01
4.7,3.937e+02,1.937e+01,2.799e+01,4.410e+02
6.2,1.345e+03,1.755e+01,2.474e+01,1.387e+03
7.8,2.241e+03,1.822e+01,2.532e+01,2.284e+03
9.4,3.304e+03,1.835e+01,2.669e+01,3.349e+03
10.9,4.551e+03,1.983e+01,2.533e+01,4.597e+03
12.5,5.990e+03,2.350e+01,2.686e+01,6.041e+03
14.0,7.873e+03,2.564e+01,3.005e+01,7.928e+03
15.6,1.027e+04,2.793e+01,3.187e+01,1.033e+04
17.2,1.266e+04,3.075e+01,3.078e+01,1.272e+04
18.7,1.499e+04,3.236e+01,3.286e+01,1.505e+04
20.3,1.762e+04,3.429e+01,3.100e+01,1.768e+04
21.8,2.058e+04,4.009e+01,3.559e+01,2.066e+04
23.4,2.531e+04,5.199e+01,4.935e+01,2.541e+04
24.9,2.948e+04,6.265e+01,6.628e+01,2.961e+04
26.5,3.140e+04,5.888e+01,7.766e+01,3.154e+04
28.1,3.600e+04,5.692e+01,8.370e+01,3.614e+04
29.6,4.301e+04,6.801e+01,9.436e+01,4.317e+04
31.2,5.174e+04,7.566e+01,9.688e+01,5.191e+04
32.7,6.243e+04,9.043e+01,1.104e+02,6.263e+04
34.3,7.560e+04,1.143e+02,1.195e+02,7.583e+04
35.9,9.185e+04,1.142e+02,1.282e+02,9.209e+04
37.4,1.117e+05,1.511e+02,1.411e+02,1.120e+05
39.0,1.358e+05,2.584e+02,1.430e+02,1.362e+05
40.5,1.600e+05,4.523e+02,1.263e+02,1.606e+05
42.1,1.898e+05,7.381e+02,1.279e+02,1.906e+05
43.7,2.358e+05,9.452e+02,1.475e+02,2.369e+05
45.2,3.009e+05,1.103e+03,1.512e+02,3.022e+05
46.8,3.928e+05,1.332e+03,1.590e+02,3.942e+05
48.3,4.962e+05,1.393e+03,2.565e+02,4.979e+05
49.9,6.050e+05,1.150e+03,8.066e+02,6.070e+05
51.5,7.792e+05,1.407e+03,1.363e+03,7.820e+05
53.0,1.161e+06,2.424e+03,2.660e+03,1.166e+06
54.6,1.900e+06,3.429e+03,1.541e+04,1.918e+06
