freq,psd_x,psd_y,psd_z,psd_xyz
0.0,8.995e+02,1.325e+02,1.138e+02,1.146e+03
1.6,7.536e+02,5.687e+02,3.525e+02,1.675e+03
3.1,3.762e+02,6.317e+02,3.386e+02,1.347e+03
4.7,6.406e+02,5.980e+02,3.267e+02,1.565e+03
6.2,1.537e+03,7.101e+02,4.089e+02,2.656e+03
7.8,2.462e+03,7.054e+02,3.602e+02,3.528e+03
9.4,3.462e+03,7.631e+02,3.836e+02,4.609e+03
10.9,4.581e+03,6.316e+02,3.690e+02,5.582e+03
12.5,5.924e+03,6.555e+02,4.017e+02,6.981e+03
14.0,7.591e+03,6.047e+02,3.683e+02,8.564e+03
15.6,9.703e+03,6.276e+02,3.914e+02,1.072e+04
17.2,1.194e+04,6.582e+02,3.903e+02,1.298e+04
18.7,1.395e+04,7.750e+02,4.496e+02,1.517e+04
20.3,1.667e+04,8.421e+02,4.691e+02,1.799e+04
21.8,1.914e+04,8.306e+02,4.482e+02,2.042e+04
23.4,2.292e+04,6.976e+02,4.699e+02,2.408e+04
25.0,2.838e+04,6.640e+02,4.635e+02,2.950e+04
26.5,3.212e+04,6.289e+02,4.356e+02,3.319e+04
28.1,3.294e+04,6.832e+02,4.815e+02,3.410e+04
29.6,3.796e+04,7.540e+02,4.531e+02,3.916e+04
31.2,4.528e+04,8.092e+02,5.028e+02,4.659e+04
32.8,5.339e+04,7.807e+02,5.379e+02,5.471e+04
34.3,6.251e+04,9.249e+02,5.711e+02,6.401e+04
35.9,7.297e+04,1.113e+03,6.010e+02,7.469e+04
37.4,8.630e+04,1.211e+03,5.355e+02,8.805e+04
39.0,1.030e+05,1.219e+03,5.007e+02,1.048e+05
40.6,1.232e+05,1.280e+03,5.451e+02,1.250e+05
42.1,1.486e+05,1.464e+03,6.124e+02,1.507e+05
43.7,1.809e+05,1.560e+03,5.720e+02,1.831e+05
45.2,2.198e+05,1.642e+03,5.648e+02,2.220e+05
46.8,2.639e+05,1.766e+03,7.181e+02,2.664e+05
48.4,3.036e+05,1.570e+03,7.250e+02,3.059e+05
49.9,3.604e+05,1.527e+03,6.520e+02,3.626e+05
51.5,4.496e+05,1.523e+03,1.035e+03,4.521e+05
53.0,5.633e+05,1.620e+03,1.732e+03,5.666e+05
54.6,6.965e+05,1.787e+03,5.752e+03,7.041e+05
56.2,9.333e+05,2.684e+03,1.722e+04,9.532e+05
57.7,1.281e+06,4.043e+03,4.166e+04,1.327e+06
59.3,1.735e+06,6.409e+03,7.412e+04,1.816e+06
60.8,2.777e+06,1.054e+04,1.035e+05,2.891e+06
62.4,4.298e+06,1.492e+04,1.335e+05,4.446e+06
64.0,4.457e+06,1.569e+04,1.300e+05,4.602e+06
65.5,3.630e+06,1.397e+04,8.441e+04,3.728e+06
67.1,3.119e+06,1.714e+04,6.031e+04,3.197e+06
68.6,2.933e+06,2.071e+04,5.349e+04,3.007e+06
70.2,2.561e+06,2.006e+04,4.009e+04,2.621e+06
71.8,2.092e+06,1.736e+04,2.744e+04,2.137e+06
73.3,1.776e+06,1.433e+04,2.072e+04,1.811e+06
74.9,1.403e+06,1.288e+04,1.508e+04,1.431e+06
76.4,1.084e+06,1.126e+04,1.113e+04,1.107e+06
78.0,8.297e+05,9.563e+03,9.582e+03,8.488e+05
79.6,6.195e+05,8.992e+03,9.494e+03,6.380e+05
81.1,4.802e+05,9.483e+03,9.158e+03,4.988e+05
82.7,3.744e+05,8.179e+03,8.542e+03,3.911e+05
84.2,3.018e+05,5.472e+03,7.274e+03,3.145e+05
85.8,2.809e+05,5.764e+03,4.703e+03,2.914e+05
87.4,2.436e+05,8.281e+03,4.767e+03,2.566e+05
88.9,1.852e+05,6.093e+03,3.432e+03,1.948e+05
90.5,1.531e+05,6.181e+03,2.715e+03,1.620e+05
92.0,1.474e+05,1.015e+04,3.902e+03,1.615e+05
93.6,1.361e+05,1.504e+04,6.495e+03,1.577e+05
95.2,1.220e+05,2.380e+04,1.228e+04,1.581e+05
96.7,1.132e+05,2.933e+04,1.688e+04,1.594e+05
98.3,9.967e+04,2.508e+04,1.599e+04,1.407e+05
99.8,8.357e+04,1.450e+04,1.003e+04,1.081e+05
101.4,6.637e+04,1.442e+04,9.551e+03,9.034e+04
103.0,7.336e+04,2.435e+04,1.583e+04,1.135e+05
104.5,1.129e+05,2.840e+04,1.971e+04,1.610e+05
106.1,1.458e+05,2.352e+04,1.772e+04,1.870e+05
107.6,1.486e+05,1.628e+04,1.347e+04,1.783e+05
109.2,1.331e+05,1.027e+04,8.804e+03,1.521e+05
110.8,1.167e+05,1.462e+04,8.395e+03,1.397e+05
112.3,1.036e+05,2.849e+04,1.410e+04,1.462e+05
113.9,9.857e+04,4.418e+04,2.168e+04,1.644e+05
115.4,9.810e+04,4.781e+04,2.427e+04,1.702e+05
117.0,9.914e+04,4.519e+04,2.512e+04,1.695e+05
118.6,1.044e+05,4.811e+04,3.385e+04,1.863e+05
120.1,1.105e+05,6.157e+04,4.954e+04,2.216e+05
121.7,1.145e+05,6.753e+04,5.788e+04,2.399e+05
123.3,1.205e+05,5.588e+04,5.589e+04,2.322e+05
124.8,1.180e+05,4.032e+04,5.099e+04,2.093e+05
126.4,1.241e+05,3.865e+04,5.988e+04,2.226e+05
127.9,1.311e+05,3.748e+04,6.930e+04,2.379e+05
129.5,1.396e+05,3.546e+04,7.564e+04,2.507e+05
131.1,1.328e+05,3.274e+04,6.941e+04,2.350e+05
132.6,7.828e+04,2.301e+04,4.115e+04,1.425e+05
134.2,1.329e+04,8.631e+03,9.374e+03,3.130e+04
135.7,3.049e+03,4.924e+03,3.797e+03,1.177e+04
137.3,3.080e+03,4.001e+03,3.472e+03,1.055e+04
138.9,2.896e+03,3.908e+03,3.660e+03,1.046e+04
140.4,3.212e+03,4.516e+03,4.160e+03,1.189e+04
142.0,3.910e+03,5.521e+03,5.401e+03,1.483e+04
143.5,5.194e+03,6.124e+03,7.122e+03,1.844e+04
145.1,6.852e+03,6.042e+03,8.829e+03,2.172e+04
146.7,1.024e+04,6.213e+03,1.055e+04,2.700e+04
148.2,1.567e+04,6.255e+03,1.283e+04,3.476e+04
149.8,2.062e+04,6.019e+03,1.499e+04,4.163e+04
151.3,2.198e+04,5.362e+03,1.684e+04,4.418e+04
152.9,2.321e+04,4.600e+03,1.757e+04,4.538e+04
154.5,2.511e+04,4.520e+03,1.716e+04,4.679e+04
156.0,2.625e+04,4.545e+03,1.777e+04,4.856e+04
157.6,2.504e+04,4.045e+03,1.678e+04,4.587e+04
159.1,2.279e+04,3.389e+03,1.555e+04,4.172e+04
160.7,1.971e+04,3.237e+03,1.395e+04,3.690e+04
162.3,1.563e+04,3.165e+03,1.046e+04,2.925e+04
163.8,1.239e+04,3.221e+03,8.352e+03,2.397e+04
165.4,9.982e+03,3.582e+03,7.675e+03,2.124e+04
166.9,9.105e+03,3.879e+03,8.151e+03,2.114e+04
168.5,1.005e+04,4.661e+03,1.014e+04,2.485e+04
170.1,1.123e+04,6.548e+03,1.236e+04,3.014e+04
171.6,9.995e+03,7.227e+03,1.201e+04,2.923e+04
173.2,9.801e+03,8.633e+03,1.396e+04,3.240e+04
174.7,9.272e+03,9.709e+03,1.550e+04,3.448e+04
176.3,1.074e+04,1.037e+04,1.553e+04,3.665e+04
177.9,1.034e+04,1.075e+04,1.559e+04,3.667e+04
179.4,9.959e+03,1.074e+04,1.643e+04,3.713e+04
181.0,1.082e+04,1.022e+04,1.775e+04,3.879e+04
182.5,1.303e+04,9.734e+03,1.983e+04,4.260e+04
184.1,1.609e+04,9.273e+03,2.231e+04,4.767e+04
185.7,2.022e+04,9.586e+03,2.577e+04,5.557e+04
187.2,2.389e+04,8.635e+03,2.750e+04,6.002e+04
188.8,2.631e+04,7.578e+03,2.696e+04,6.085e+04
190.3,2.780e+04,6.635e+03,2.575e+04,6.019e+04
191.9,3.097e+04,5.598e+03,2.667e+04,6.323e+04
193.5,3.522e+04,5.735e+03,2.958e+04,7.053e+04
