freq,psd_x,psd_y,psd_z,psd_xyz
0.0,9.256e+02,5.599e+01,6.698e+01,1.049e+03
1.6,5.238e+02,4.533e+01,5.694e+01,6.261e+02
3.1,2.767e+01,1.808e+01,2.582e+01,7.157e+01
4.7,3.975e+02,1.687e+01,2.573e+01,4.401e+02
6.2,1.445e+03,1.637e+01,2.563e+01,1.487e+03
7.8,2.300e+03,1.812e+01,3.696e+01,2.355e+03
9.4,2.826e+03,1.937e+01,3.782e+01,2.883e+03
10.9,3.981e+03,1.890e+01,2.770e+01,4.028e+03
12.5,5.393e+03,1.706e+01,3.112e+01,5.441e+03
14.0,7.004e+03,1.690e+01,3.329e+01,7.054e+03
15.6,8.959e+03,1.584e+01,3.966e+01,9.014e+03
17.1,1.123e+04,1.920e+01,4.972e+01,1.130e+04
18.7,1.394e+04,2.199e+01,5.922e+01,1.402e+04
20.3,1.699e+04,2.801e+01,5.543e+01,1.707e+04
21.8,2.038e+04,3.596e+01,5.487e+01,2.047e+04
23.4,2.366e+04,3.404e+01,6.904e+01,2.376e+04
24.9,2.726e+04,5.347e+01,7.865e+01,2.739e+04
26.5,3.199e+04,5.874e+01,9.339e+01,3.214e+04
28.1,3.788e+04,5.343e+01,1.137e+02,3.805e+04
29.6,4.486e+04,6.472e+01,1.356e+02,4.506e+04
31.2,5.281e+04,8.457e+01,1.615e+02,5.305e+04
32.7,6.199e+04,1.163e+02,2.004e+02,6.231e+04
34.3,7.331e+04,1.568e+02,2.568e+02,7.372e+04
35.8,8.627e+04,2.166e+02,3.615e+02,8.684e+04
37.4,1.013e+05,3.119e+02,4.816e+02,1.021e+05
39.0,1.199e+05,4.441e+02,5.521e+02,1.209e+05
40.5,1.416e+05,5.962e+02,6.158e+02,1.428e+05
42.1,1.670e+05,7.346e+02,6.329e+02,1.684e+05
43.6,1.999e+05,7.468e+02,4.891e+02,2.011e+05
45.2,2.424e+05,6.738e+02,2.926e+02,2.433e+05
46.8,2.969e+05,6.612e+02,2.352e+02,2.978e+05
48.3,3.711e+05,6.747e+02,3.338e+02,3.721e+05
49.9,4.805e+05,7.116e+02,5.544e+02,4.818e+05
51.4,6.349e+05,8.187e+02,1.122e+03,6.368e+05
53.0,8.804e+05,1.004e+03,3.045e+03,8.845e+05
54.5,1.276e+06,1.386e+03,9.648e+03,1.287e+06
56.1,1.859e+06,2.641e+03,2.613e+04,1.888e+06
57.7,2.757e+06,5.545e+03,4.540e+04,2.808e+06
59.2,3.831e+06,8.427e+03,5.885e+04,3.898e+06
60.8,4.526e+06,1.354e+04,7.805e+04,4.618e+06
62.3,4.502e+06,2.600e+04,1.086e+05,4.636e+06
63.9,3.995e+06,3.826e+04,1.225e+05,4.156e+06
65.5,3.431e+06,4.145e+04,1.138e+05,3.587e+06
67.0,2.756e+06,4.144e+04,1.001e+05,2.897e+06
68.6,1.980e+06,3.858e+04,8.392e+04,2.102e+06
70.1,1.416e+06,3.318e+04,6.746e+04,1.516e+06
71.7,1.089e+06,2.979e+04,5.614e+04,1.175e+06
73.2,8.081e+05,2.753e+04,4.460e+04,8.802e+05
74.8,6.037e+05,2.690e+04,3.618e+04,6.668e+05
76.4,4.482e+05,2.835e+04,3.150e+04,5.081e+05
77.9,3.606e+05,3.401e+04,3.242e+04,4.270e+05
79.5,3.081e+05,3.769e+04,3.314e+04,3.790e+05
81.0,2.284e+05,3.539e+04,2.880e+04,2.925e+05
82.6,1.774e+05,3.315e+04,2.434e+04,2.349e+05
84.2,1.558e+05,3.866e+04,2.324e+04,2.177e+05
85.7,1.488e+05,5.277e+04,2.828e+04,2.299e+05
87.3,1.341e+05,5.853e+04,2.964e+04,2.223e+05
88.8,1.102e+05,6.569e+04,3.081e+04,2.067e+05
90.4,1.012e+05,8.043e+04,3.796e+04,2.196e+05
92.0,1.112e+05,9.229e+04,4.396e+04,2.474e+05
93.5,1.207e+05,8.999e+04,4.106e+04,2.518e+05
95.1,1.247e+05,8.026e+04,3.617e+04,2.411e+05
96.6,1.243e+05,6.215e+04,2.710e+04,2.136e+05
98.2,1.146e+05,4.606e+04,2.106e+04,1.818e+05
99.7,1.025e+05,3.554e+04,1.766e+04,1.557e+05
101.3,8.929e+04,2.109e+04,1.246e+04,1.228e+05
102.9,7.514e+04,2.622e+04,1.505e+04,1.164e+05
104.4,6.948e+04,5.036e+04,2.421e+04,1.440e+05
106.0,7.680e+04,7.919e+04,3.959e+04,1.956e+05
107.5,8.609e+04,1.142e+05,5.893e+04,2.592e+05
109.1,9.280e+04,1.558e+05,7.688e+04,3.255e+05
110.7,1.035e+05,1.885e+05,9.008e+04,3.821e+05
112.2,1.115e+05,1.831e+05,9.028e+04,3.848e+05
113.8,1.144e+05,1.696e+05,8.514e+04,3.691e+05
115.3,1.217e+05,1.700e+05,8.596e+04,3.776e+05
116.9,1.241e+05,1.515e+05,8.866e+04,3.643e+05
118.4,1.199e+05,1.198e+05,8.941e+04,3.292e+05
120.0,1.153e+05,1.166e+05,1.131e+05,3.449e+05
121.6,1.276e+05,1.349e+05,1.432e+05,4.057e+05
123.1,1.490e+05,1.454e+05,1.583e+05,4.527e+05
124.7,1.637e+05,1.475e+05,1.700e+05,4.811e+05
126.2,1.592e+05,1.175e+05,1.401e+05,4.168e+05
127.8,1.720e+05,1.198e+05,1.316e+05,4.234e+05
129.4,2.142e+05,1.714e+05,1.669e+05,5.524e+05
130.9,2.979e+05,2.448e+05,2.232e+05,7.659e+05
132.5,2.561e+05,1.945e+05,1.738e+05,6.243e+05
134.0,5.025e+04,4.246e+04,3.502e+04,1.277e+05
135.6,9.256e+03,1.597e+04,9.612e+03,3.484e+04
137.1,9.437e+03,1.787e+04,1.044e+04,3.775e+04
138.7,1.106e+04,1.821e+04,1.157e+04,4.085e+04
140.3,1.384e+04,1.777e+04,1.297e+04,4.458e+04
141.8,1.608e+04,1.899e+04,1.504e+04,5.011e+04
143.4,1.677e+04,2.207e+04,1.665e+04,5.549e+04
144.9,1.718e+04,2.435e+04,1.769e+04,5.922e+04
146.5,1.932e+04,2.547e+04,1.903e+04,6.382e+04
148.1,2.090e+04,2.640e+04,1.957e+04,6.686e+04
149.6,1.814e+04,2.254e+04,1.652e+04,5.720e+04
151.2,1.605e+04,1.909e+04,1.426e+04,4.940e+04
152.7,1.483e+04,1.783e+04,1.357e+04,4.623e+04
154.3,1.415e+04,1.901e+04,1.421e+04,4.737e+04
155.8,1.290e+04,1.832e+04,1.354e+04,4.476e+04
157.4,1.114e+04,1.516e+04,1.189e+04,3.819e+04
159.0,9.431e+03,1.326e+04,1.079e+04,3.348e+04
160.5,7.868e+03,1.255e+04,1.030e+04,3.072e+04
162.1,6.373e+03,1.134e+04,9.632e+03,2.735e+04
163.6,6.811e+03,1.102e+04,1.001e+04,2.784e+04
165.2,8.594e+03,1.232e+04,1.143e+04,3.234e+04
166.8,8.176e+03,1.344e+04,1.142e+04,3.304e+04
168.3,6.584e+03,1.419e+04,1.007e+04,3.085e+04
169.9,5.008e+03,1.484e+04,9.056e+03,2.890e+04
171.4,4.847e+03,1.529e+04,9.002e+03,2.914e+04
173.0,6.019e+03,1.547e+04,1.010e+04,3.158e+04
174.5,8.370e+03,1.635e+04,1.197e+04,3.669e+04
176.1,1.004e+04,1.702e+04,1.326e+04,4.033e+04
177.7,1.228e+04,1.677e+04,1.409e+04,4.313e+04
179.2,1.495e+04,1.713e+04,1.430e+04,4.638e+04
180.8,1.835e+04,1.771e+04,1.508e+04,5.114e+04
182.3,2.293e+04,1.869e+04,1.709e+04,5.871e+04
183.9,2.665e+04,1.876e+04,1.845e+04,6.387e+04
185.5,2.917e+04,1.934e+04,1.932e+04,6.783e+04
187.0,3.374e+04,1.901e+04,2.096e+04,7.371e+04
188.6,3.955e+04,1.648e+04,2.261e+04,7.864e+04
190.1,4.273e+04,1.253e+04,2.348e+04,7.874e+04
191.7,4.696e+04,1.047e+04,2.641e+04,8.384e+04
193.3,5.691e+04,8.765e+03,3.149e+04,9.717e+04
194.8,6.481e+04,7.556e+03,3.616e+04,1.085e+05
196.4,6.163e+04,9.549e+03,3.852e+04,1.097e+05
197.9,5.848e+04,1.372e+04,4.197e+04,1.142e+05
199.5,6.540e+04,1.848e+04,5.096e+04,1.348e+05
