freq,psd_x,psd_y,psd_z,psd_xyz
0.0,8.403e+02,1.914e+01,7.823e+00,8.673e+02
1.6,4.826e+02,2.338e+01,2.518e+01,5.311e+02
3.1,3.078e+01,1.704e+01,2.358e+01,7.140e+01
4.7,4.094e+02,1.737e+01,2.458e+01,4.514e+02
6.2,1.573e+03,1.780e+01,2.675e+01,1.617e+03
7.8,2.877e+03,1.948e+01,4.373e+01,2.941e+03
9.3,2.803e+03,1.825e+01,4.224e+01,2.863e+03
10.9,3.262e+03,1.759e+01,2.406e+01,3.303e+03
12.4,4.881e+03,1.855e+01,2.509e+01,4.924e+03
14.0,6.978e+03,1.948e+01,2.504e+01,7.022e+03
15.5,9.705e+03,2.063e+01,2.646e+01,9.752e+03
17.1,1.244e+04,1.904e+01,2.674e+01,1.248e+04
18.7,1.556e+04,2.213e+01,2.684e+01,1.561e+04
20.2,1.906e+04,5.320e+01,3.006e+01,1.914e+04
21.8,2.336e+04,4.456e+01,4.179e+01,2.345e+04
23.3,2.929e+04,1.975e+01,4.545e+01,2.935e+04
24.9,3.700e+04,2.219e+01,3.389e+01,3.706e+04
26.4,4.686e+04,2.845e+01,3.634e+01,4.693e+04
28.0,5.887e+04,2.707e+01,3.724e+01,5.893e+04
29.5,7.438e+04,2.457e+01,4.294e+01,7.444e+04
31.1,9.589e+04,2.417e+01,5.281e+01,9.597e+04
32.7,1.263e+05,2.494e+01,6.872e+01,1.264e+05
34.2,1.710e+05,2.877e+01,8.967e+01,1.711e+05
35.8,2.402e+05,3.417e+01,1.243e+02,2.404e+05
37.3,3.573e+05,4.140e+01,1.651e+02,3.575e+05
38.9,5.929e+05,6.908e+01,2.407e+02,5.932e+05
40.4,1.220e+06,1.519e+02,3.558e+02,1.221e+06
42.0,2.214e+06,2.457e+02,5.214e+02,2.215e+06
43.5,2.276e+06,2.317e+02,4.989e+02,2.277e+06
45.1,1.903e+06,5.764e+02,4.202e+02,1.904e+06
46.6,1.738e+06,1.216e+03,3.403e+02,1.739e+06
48.2,1.407e+06,1.292e+03,2.292e+02,1.408e+06
49.8,1.088e+06,7.109e+02,2.221e+02,1.089e+06
51.3,8.683e+05,1.941e+02,1.501e+02,8.686e+05
52.9,7.058e+05,6.515e+02,1.115e+02,7.065e+05
54.4,6.154e+05,1.387e+03,1.661e+02,6.170e+05
56.0,5.725e+05,1.910e+03,2.404e+02,5.747e+05
57.5,5.304e+05,2.381e+03,2.495e+02,5.331e+05
59.1,4.836e+05,2.812e+03,2.644e+02,4.867e+05
60.6,4.493e+05,3.933e+03,2.538e+02,4.535e+05
62.2,4.322e+05,6.564e+03,2.783e+02,4.390e+05
63.7,4.240e+05,9.309e+03,4.132e+02,4.337e+05
65.3,4.181e+05,1.201e+04,5.975e+02,4.307e+05
66.9,4.058e+05,1.130e+04,4.276e+02,4.175e+05
68.4,3.991e+05,9.608e+03,4.181e+02,4.091e+05
70.0,3.861e+05,1.142e+04,6.035e+02,3.981e+05
71.5,3.700e+05,1.643e+04,6.981e+02,3.872e+05
73.1,3.451e+05,2.087e+04,6.044e+02,3.665e+05
74.6,3.277e+05,2.327e+04,7.873e+02,3.518e+05
76.2,3.018e+05,2.910e+04,1.982e+03,3.329e+05
77.7,2.435e+05,3.271e+04,4.299e+03,2.805e+05
79.3,2.069e+05,3.047e+04,6.371e+03,2.437e+05
80.9,2.030e+05,2.558e+04,7.003e+03,2.356e+05
82.4,1.969e+05,2.022e+04,9.265e+03,2.264e+05
84.0,1.726e+05,1.632e+04,1.455e+04,2.034e+05
85.5,1.459e+05,1.571e+04,1.684e+04,1.784e+05
87.1,1.290e+05,1.435e+04,1.308e+04,1.565e+05
88.6,1.124e+05,1.233e+04,8.842e+03,1.336e+05
90.2,8.864e+04,1.398e+04,8.779e+03,1.114e+05
91.7,5.746e+04,1.782e+04,1.116e+04,8.644e+04
93.3,2.903e+04,1.972e+04,1.030e+04,5.905e+04
94.8,1.295e+04,2.155e+04,8.346e+03,4.285e+04
96.4,8.097e+03,2.863e+04,6.467e+03,4.320e+04
98.0,1.287e+04,3.998e+04,7.062e+03,5.990e+04
99.5,2.447e+04,5.229e+04,7.649e+03,8.441e+04
101.1,4.425e+04,6.788e+04,6.710e+03,1.188e+05
102.6,6.467e+04,7.944e+04,6.572e+03,1.507e+05
104.2,7.995e+04,8.575e+04,5.475e+03,1.712e+05
105.7,9.333e+04,9.193e+04,4.449e+03,1.897e+05
107.3,1.077e+05,1.000e+05,3.989e+03,2.117e+05
108.8,1.188e+05,1.063e+05,3.386e+03,2.285e+05
110.4,1.225e+05,1.079e+05,2.905e+03,2.333e+05
111.9,1.157e+05,1.019e+05,2.430e+03,2.201e+05
113.5,1.070e+05,9.479e+04,2.221e+03,2.040e+05
115.1,9.493e+04,8.446e+04,1.923e+03,1.813e+05
116.6,6.742e+04,6.413e+04,1.008e+03,1.326e+05
118.2,5.653e+04,6.194e+04,1.605e+03,1.201e+05
119.7,5.744e+04,6.062e+04,3.204e+03,1.213e+05
121.3,5.512e+04,5.281e+04,4.140e+03,1.121e+05
122.8,4.737e+04,4.659e+04,4.726e+03,9.869e+04
124.4,4.305e+04,4.507e+04,5.267e+03,9.339e+04
125.9,3.980e+04,4.484e+04,5.355e+03,8.999e+04
127.5,3.648e+04,4.497e+04,5.336e+03,8.679e+04
129.1,3.400e+04,4.659e+04,4.866e+03,8.545e+04
130.6,3.019e+04,4.629e+04,4.334e+03,8.081e+04
132.2,2.206e+04,3.791e+04,3.625e+03,6.359e+04
133.7,6.423e+03,1.173e+04,1.699e+03,1.985e+04
135.3,5.079e+02,1.114e+03,8.166e+02,2.439e+03
136.8,2.632e+02,1.006e+03,9.284e+02,2.198e+03
138.4,2.330e+02,9.905e+02,9.451e+02,2.169e+03
139.9,1.912e+02,8.856e+02,9.386e+02,2.015e+03
141.5,1.992e+02,8.211e+02,9.399e+02,1.960e+03
143.0,2.522e+02,8.466e+02,1.298e+03,2.397e+03
144.6,2.112e+02,7.099e+02,1.099e+03,2.020e+03
146.2,1.636e+02,6.373e+02,9.084e+02,1.709e+03
147.7,1.820e+02,6.176e+02,8.696e+02,1.669e+03
149.3,2.309e+02,6.042e+02,9.124e+02,1.747e+03
150.8,2.352e+02,6.018e+02,7.612e+02,1.598e+03
152.4,2.171e+02,6.193e+02,6.829e+02,1.519e+03
153.9,2.061e+02,6.350e+02,7.836e+02,1.625e+03
155.5,2.123e+02,6.281e+02,1.033e+03,1.873e+03
157.0,1.943e+02,5.703e+02,1.304e+03,2.069e+03
158.6,1.819e+02,5.022e+02,1.441e+03,2.125e+03
160.1,1.979e+02,4.080e+02,1.309e+03,1.915e+03
161.7,2.099e+02,3.519e+02,1.245e+03,1.807e+03
163.3,2.225e+02,3.862e+02,1.411e+03,2.019e+03
164.8,2.181e+02,4.267e+02,1.449e+03,2.093e+03
166.4,2.258e+02,4.294e+02,1.307e+03,1.962e+03
167.9,3.124e+02,4.824e+02,1.169e+03,1.964e+03
169.5,4.236e+02,5.731e+02,1.091e+03,2.088e+03
171.0,4.969e+02,5.960e+02,1.090e+03,2.183e+03
172.6,5.172e+02,6.982e+02,1.115e+03,2.330e+03
174.1,5.312e+02,8.367e+02,1.071e+03,2.438e+03
175.7,9.518e+02,6.966e+02,1.152e+03,2.800e+03
177.2,1.487e+03,9.417e+02,1.403e+03,3.833e+03
178.8,1.346e+03,1.792e+03,1.265e+03,4.404e+03
180.4,5.090e+02,1.353e+03,1.125e+03,2.987e+03
181.9,2.966e+02,5.643e+02,9.497e+02,1.811e+03
183.5,3.361e+02,4.286e+02,7.518e+02,1.516e+03
185.0,3.927e+02,4.961e+02,7.019e+02,1.591e+03
186.6,4.738e+02,6.435e+02,6.243e+02,1.742e+03
188.1,5.505e+02,7.976e+02,5.598e+02,1.908e+03
189.7,6.327e+02,1.069e+03,8.652e+02,2.567e+03
191.2,7.223e+02,1.729e+03,1.840e+03,4.291e+03
192.8,6.954e+02,1.915e+03,1.903e+03,4.514e+03
194.4,6.007e+02,1.185e+03,8.694e+02,2.655e+03
195.9,5.790e+02,1.023e+03,6.806e+02,2.283e+03
197.5,5.756e+02,1.233e+03,7.531e+02,2.561e+03
199.0,5.794e+02,1.422e+03,8.508e+02,2.852e+03
