freq,psd_x,psd_y,psd_z,psd_xyz
0.0,7.514e+02,3.571e+02,6.705e+01,1.176e+03
1.5,4.094e+03,4.907e+02,2.355e+02,4.820e+03
3.1,4.502e+03,3.848e+02,2.115e+02,5.099e+03
4.6,4.182e+03,6.752e+02,1.776e+02,5.034e+03
6.2,3.816e+03,1.898e+03,2.636e+02,5.977e+03
7.7,4.976e+03,2.829e+03,3.001e+02,8.105e+03
9.2,5.699e+03,3.069e+03,2.775e+02,9.045e+03
10.8,5.398e+03,3.848e+03,2.756e+02,9.522e+03
12.3,4.446e+03,5.372e+03,3.134e+02,1.013e+04
13.9,3.700e+03,7.327e+03,2.983e+02,1.133e+04
15.4,3.833e+03,9.882e+03,2.504e+02,1.396e+04
17.0,3.289e+03,1.217e+04,2.483e+02,1.571e+04
18.5,4.192e+03,1.459e+04,2.477e+02,1.903e+04
20.0,4.327e+03,1.740e+04,2.137e+02,2.194e+04
21.6,4.070e+03,2.104e+04,2.435e+02,2.536e+04
23.1,4.649e+03,2.471e+04,2.562e+02,2.961e+04
24.7,5.813e+03,2.865e+04,2.896e+02,3.476e+04
26.2,4.595e+03,3.324e+04,2.631e+02,3.809e+04
27.7,4.443e+03,3.933e+04,2.264e+02,4.400e+04
29.3,4.101e+03,4.740e+04,2.461e+02,5.175e+04
30.8,4.121e+03,5.867e+04,3.115e+02,6.310e+04
32.4,3.047e+03,7.399e+04,2.842e+02,7.732e+04
33.9,3.789e+03,9.597e+04,3.495e+02,1.001e+05
35.5,6.191e+03,1.258e+05,4.763e+02,1.325e+05
37.0,5.221e+03,1.717e+05,7.648e+02,1.777e+05
38.5,4.354e+03,2.469e+05,1.366e+03,2.527e+05
40.1,3.514e+03,3.863e+05,2.890e+03,3.927e+05
41.6,3.954e+03,6.892e+05,7.314e+03,7.005e+05
43.2,3.733e+03,9.411e+05,1.249e+04,9.573e+05
44.7,4.143e+03,8.152e+05,1.525e+04,8.346e+05
46.2,6.914e+03,5.913e+05,2.020e+04,6.184e+05
47.8,7.642e+03,4.130e+05,2.143e+04,4.421e+05
49.3,7.699e+03,2.757e+05,1.744e+04,3.009e+05
50.9,5.377e+03,1.972e+05,1.435e+04,2.169e+05
52.4,5.103e+03,1.427e+05,1.626e+04,1.641e+05
53.9,5.714e+03,1.015e+05,1.923e+04,1.264e+05
55.5,6.847e+03,7.063e+04,2.498e+04,1.025e+05
57.0,9.081e+03,5.056e+04,3.850e+04,9.814e+04
58.6,1.476e+04,4.411e+04,5.799e+04,1.169e+05
60.1,2.064e+04,4.332e+04,8.219e+04,1.461e+05
61.7,2.407e+04,4.356e+04,1.075e+05,1.751e+05
