freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.637e+02,8.599e+02,6.860e+01,1.192e+03
1.5,1.209e+03,7.176e+02,2.425e+02,2.169e+03
3.1,1.287e+03,4.743e+02,3.188e+02,2.080e+03
4.6,1.101e+03,1.156e+03,2.640e+02,2.520e+03
6.2,1.208e+03,2.941e+03,2.752e+02,4.424e+03
7.7,1.196e+03,4.778e+03,2.895e+02,6.263e+03
9.2,1.141e+03,5.338e+03,3.144e+02,6.794e+03
10.8,1.179e+03,6.344e+03,3.158e+02,7.839e+03
12.3,1.216e+03,8.946e+03,3.317e+02,1.049e+04
13.8,1.187e+03,1.255e+04,3.501e+02,1.409e+04
15.4,1.268e+03,1.646e+04,3.406e+02,1.807e+04
16.9,1.061e+03,2.030e+04,3.626e+02,2.173e+04
18.5,1.012e+03,2.440e+04,3.603e+02,2.577e+04
20.0,1.058e+03,2.923e+04,3.097e+02,3.059e+04
21.5,1.210e+03,3.485e+04,3.024e+02,3.636e+04
23.1,1.202e+03,4.272e+04,2.953e+02,4.422e+04
24.6,1.211e+03,5.234e+04,2.813e+02,5.383e+04
26.1,1.301e+03,6.300e+04,3.091e+02,6.461e+04
27.7,1.310e+03,7.652e+04,3.408e+02,7.817e+04
29.2,1.356e+03,9.539e+04,3.221e+02,9.707e+04
30.8,1.440e+03,1.230e+05,3.081e+02,1.247e+05
32.3,1.763e+03,1.643e+05,3.194e+02,1.664e+05
33.8,1.935e+03,2.310e+05,3.496e+02,2.333e+05
35.4,2.433e+03,3.569e+05,4.020e+02,3.597e+05
36.9,4.652e+03,7.131e+05,6.724e+02,7.184e+05
38.5,1.280e+04,1.842e+06,1.912e+03,1.857e+06
40.0,1.916e+04,2.653e+06,3.045e+03,2.676e+06
41.5,1.640e+04,2.268e+06,3.105e+03,2.288e+06
43.1,1.189e+04,1.717e+06,2.987e+03,1.732e+06
44.6,9.417e+03,1.258e+06,4.263e+03,1.271e+06
46.1,8.050e+03,9.639e+05,7.074e+03,9.791e+05
47.7,7.070e+03,7.412e+05,8.188e+03,7.565e+05
49.2,5.830e+03,5.504e+05,7.807e+03,5.640e+05
50.8,4.878e+03,4.079e+05,4.815e+03,4.176e+05
52.3,4.237e+03,3.020e+05,3.831e+03,3.101e+05
53.8,3.622e+03,2.310e+05,5.697e+03,2.403e+05
55.4,3.357e+03,1.809e+05,9.080e+03,1.933e+05
56.9,3.196e+03,1.382e+05,1.140e+04,1.528e+05
58.5,3.033e+03,1.026e+05,1.244e+04,1.180e+05
60.0,3.136e+03,7.549e+04,1.487e+04,9.350e+04
61.5,3.532e+03,5.338e+04,1.986e+04,7.677e+04
63.1,4.138e+03,3.450e+04,2.787e+04,6.651e+04
64.6,4.779e+03,3.183e+04,3.985e+04,7.646e+04
66.1,4.560e+03,5.065e+04,4.539e+04,1.006e+05
67.7,4.012e+03,6.797e+04,4.549e+04,1.175e+05
69.2,4.358e+03,7.631e+04,4.148e+04,1.221e+05
70.8,4.345e+03,8.248e+04,3.737e+04,1.242e+05
72.3,3.224e+03,9.476e+04,3.377e+04,1.318e+05
