freq,psd_x,psd_y,psd_z,psd_xyz
0.0,9.726e+02,1.332e+01,1.471e+01,1.001e+03
1.5,7.138e+02,4.027e+01,6.646e+01,8.206e+02
3.1,2.340e+02,4.007e+01,7.606e+01,3.501e+02
4.6,8.073e+02,4.194e+01,7.744e+01,9.267e+02
6.2,2.350e+03,4.323e+01,7.111e+01,2.464e+03
7.7,3.644e+03,5.130e+01,7.449e+01,3.769e+03
9.2,4.935e+03,5.279e+01,7.241e+01,5.061e+03
10.8,6.327e+03,5.781e+01,7.179e+01,6.457e+03
12.3,8.079e+03,5.940e+01,7.291e+01,8.212e+03
13.8,1.037e+04,6.278e+01,7.622e+01,1.051e+04
15.4,1.319e+04,7.202e+01,7.682e+01,1.333e+04
16.9,1.664e+04,7.762e+01,8.248e+01,1.680e+04
18.5,2.092e+04,8.940e+01,8.487e+01,2.110e+04
20.0,2.674e+04,9.695e+01,7.663e+01,2.691e+04
21.5,3.305e+04,1.080e+02,6.898e+01,3.322e+04
23.1,3.748e+04,1.198e+02,6.727e+01,3.766e+04
24.6,4.003e+04,1.301e+02,7.010e+01,4.023e+04
26.2,4.489e+04,1.456e+02,7.116e+01,4.511e+04
27.7,5.021e+04,1.511e+02,7.464e+01,5.043e+04
29.2,5.624e+04,1.504e+02,7.247e+01,5.646e+04
30.8,6.379e+04,1.612e+02,7.355e+01,6.402e+04
32.3,7.482e+04,1.804e+02,7.348e+01,7.507e+04
33.8,8.710e+04,1.987e+02,7.353e+01,8.738e+04
35.4,9.785e+04,2.271e+02,6.791e+01,9.814e+04
36.9,1.104e+05,2.802e+02,6.999e+01,1.108e+05
38.5,1.276e+05,3.330e+02,7.193e+01,1.280e+05
40.0,1.461e+05,4.070e+02,7.540e+01,1.466e+05
41.5,1.635e+05,4.455e+02,8.905e+01,1.640e+05
43.1,1.810e+05,3.639e+02,1.068e+02,1.815e+05
44.6,2.052e+05,2.875e+02,1.240e+02,2.056e+05
46.1,2.412e+05,2.606e+02,1.511e+02,2.416e+05
47.7,2.924e+05,2.975e+02,1.943e+02,2.929e+05
49.2,3.631e+05,4.804e+02,2.225e+02,3.638e+05
50.8,4.434e+05,7.588e+02,2.584e+02,4.444e+05
52.3,5.579e+05,1.180e+03,1.857e+02,5.592e+05
53.8,7.728e+05,1.661e+03,2.592e+02,7.747e+05
55.4,1.143e+06,2.921e+03,7.679e+02,1.147e+06
56.9,1.819e+06,5.998e+03,2.586e+03,1.827e+06
58.5,3.200e+06,1.185e+04,6.133e+03,3.218e+06
60.0,4.975e+06,1.782e+04,7.759e+03,5.000e+06
61.5,5.199e+06,1.404e+04,4.842e+03,5.218e+06
63.1,4.342e+06,9.210e+03,3.774e+03,4.355e+06
64.6,3.546e+06,6.505e+03,6.027e+03,3.558e+06
