freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.837e+02,9.356e+02,7.043e+01,1.190e+03
1.5,9.423e+02,9.547e+02,2.434e+02,2.140e+03
3.1,1.171e+03,5.210e+02,2.615e+02,1.954e+03
4.6,1.179e+03,1.137e+03,2.854e+02,2.601e+03
6.2,1.025e+03,3.071e+03,3.055e+02,4.401e+03
7.7,9.774e+02,4.548e+03,3.077e+02,5.834e+03
9.2,9.590e+02,5.055e+03,3.132e+02,6.327e+03
10.8,1.018e+03,6.246e+03,3.349e+02,7.599e+03
12.3,1.005e+03,8.849e+03,3.358e+02,1.019e+04
13.8,1.023e+03,1.249e+04,3.474e+02,1.386e+04
15.4,1.120e+03,1.645e+04,3.410e+02,1.791e+04
16.9,1.281e+03,2.013e+04,3.455e+02,2.176e+04
18.5,1.137e+03,2.436e+04,3.127e+02,2.581e+04
20.0,1.089e+03,2.938e+04,2.905e+02,3.076e+04
21.5,1.103e+03,3.531e+04,3.065e+02,3.672e+04
23.1,1.207e+03,4.370e+04,3.257e+02,4.523e+04
24.6,1.221e+03,5.384e+04,3.349e+02,5.540e+04
26.1,1.342e+03,6.547e+04,3.318e+02,6.714e+04
27.7,1.371e+03,7.991e+04,3.241e+02,8.160e+04
29.2,1.563e+03,9.955e+04,3.307e+02,1.014e+05
30.8,1.686e+03,1.275e+05,3.141e+02,1.295e+05
32.3,1.864e+03,1.685e+05,2.995e+02,1.706e+05
33.8,2.075e+03,2.344e+05,2.885e+02,2.368e+05
35.4,2.449e+03,3.572e+05,3.161e+02,3.600e+05
36.9,4.169e+03,7.298e+05,6.324e+02,7.346e+05
38.5,1.216e+04,1.822e+06,1.830e+03,1.836e+06
40.0,1.873e+04,2.524e+06,3.023e+03,2.545e+06
41.5,1.525e+04,2.159e+06,3.041e+03,2.177e+06
43.1,1.129e+04,1.639e+06,2.769e+03,1.653e+06
44.6,9.153e+03,1.204e+06,4.182e+03,1.217e+06
46.1,7.911e+03,9.278e+05,6.867e+03,9.426e+05
47.7,7.127e+03,7.136e+05,7.516e+03,7.283e+05
49.2,6.195e+03,5.295e+05,6.889e+03,5.426e+05
50.8,5.199e+03,3.900e+05,4.166e+03,3.994e+05
52.3,4.358e+03,2.871e+05,3.317e+03,2.948e+05
53.8,3.776e+03,2.210e+05,5.126e+03,2.299e+05
55.4,3.433e+03,1.751e+05,8.456e+03,1.870e+05
56.9,3.294e+03,1.336e+05,1.069e+04,1.476e+05
58.4,3.351e+03,9.909e+04,1.162e+04,1.141e+05
60.0,3.582e+03,7.362e+04,1.421e+04,9.141e+04
61.5,3.734e+03,5.206e+04,1.945e+04,7.524e+04
63.1,4.297e+03,3.410e+04,2.785e+04,6.625e+04
64.6,4.954e+03,3.238e+04,3.955e+04,7.689e+04
66.1,4.651e+03,5.148e+04,4.474e+04,1.009e+05
67.7,4.166e+03,6.878e+04,4.499e+04,1.179e+05
69.2,4.496e+03,7.711e+04,4.158e+04,1.232e+05
70.8,4.285e+03,8.293e+04,3.781e+04,1.250e+05
72.3,3.100e+03,9.397e+04,3.354e+04,1.306e+05
73.8,2.637e+03,1.007e+05,2.664e+04,1.300e+05
75.4,3.981e+03,9.170e+04,2.149e+04,1.172e+05
76.9,5.422e+03,7.428e+04,2.231e+04,1.020e+05
78.4,5.349e+03,6.298e+04,3.180e+04,1.001e+05
80.0,4.875e+03,7.282e+04,5.313e+04,1.308e+05
81.5,4.441e+03,1.151e+05,8.236e+04,2.019e+05
83.1,4.873e+03,1.845e+05,1.092e+05,2.986e+05
84.6,5.849e+03,2.558e+05,1.215e+05,3.831e+05
86.1,5.512e+03,3.033e+05,1.147e+05,4.235e+05
87.7,5.084e+03,3.191e+05,9.411e+04,4.183e+05
89.2,3.411e+03,3.238e+05,6.926e+04,3.964e+05
90.8,2.276e+03,3.034e+05,4.642e+04,3.521e+05
92.3,1.929e+03,2.838e+05,2.869e+04,3.144e+05
93.8,2.701e+03,2.440e+05,1.390e+04,2.606e+05
95.4,3.213e+03,2.132e+05,8.510e+03,2.249e+05
96.9,2.615e+03,1.865e+05,1.004e+04,1.991e+05
98.4,1.747e+03,1.642e+05,1.606e+04,1.820e+05
100.0,1.560e+03,1.559e+05,2.330e+04,1.808e+05
101.5,2.422e+03,1.587e+05,2.923e+04,1.903e+05
103.1,3.748e+03,1.806e+05,3.288e+04,2.172e+05
104.6,5.168e+03,1.792e+05,2.941e+04,2.138e+05
106.1,5.581e+03,1.544e+05,2.252e+04,1.825e+05
107.7,5.202e+03,1.307e+05,1.718e+04,1.530e+05
109.2,5.058e+03,1.279e+05,1.673e+04,1.497e+05
110.7,4.855e+03,1.531e+05,2.168e+04,1.796e+05
112.3,4.148e+03,1.806e+05,2.760e+04,2.123e+05
113.8,4.200e+03,2.165e+05,3.487e+04,2.556e+05
115.4,4.794e+03,2.695e+05,4.447e+04,3.187e+05
116.9,5.841e+03,2.870e+05,4.502e+04,3.379e+05
118.4,6.756e+03,2.824e+05,3.613e+04,3.253e+05
120.0,7.669e+03,2.894e+05,3.100e+04,3.281e+05
121.5,7.246e+03,3.008e+05,3.152e+04,3.396e+05
123.1,5.640e+03,3.178e+05,3.706e+04,3.605e+05
124.6,4.218e+03,3.288e+05,4.434e+04,3.774e+05
126.1,3.400e+03,3.275e+05,4.852e+04,3.794e+05
127.7,2.869e+03,3.252e+05,5.019e+04,3.783e+05
129.2,2.771e+03,3.190e+05,4.963e+04,3.714e+05
130.7,2.614e+03,3.085e+05,4.723e+04,3.583e+05
132.3,2.444e+03,2.504e+05,3.767e+04,2.905e+05
