freq,psd_x,psd_y,psd_z,psd_xyz
0.0,9.124e+02,3.577e+02,4.764e+01,1.318e+03
1.5,4.353e+03,2.992e+02,9.689e+01,4.750e+03
3.1,6.212e+03,1.159e+02,9.527e+01,6.423e+03
4.6,6.226e+03,4.713e+02,1.101e+02,6.808e+03
6.2,6.193e+03,1.563e+03,1.222e+02,7.878e+03
7.7,5.491e+03,2.377e+03,1.289e+02,7.997e+03
9.2,5.083e+03,2.574e+03,1.308e+02,7.788e+03
10.8,5.893e+03,3.459e+03,1.462e+02,9.499e+03
12.3,3.025e+03,5.034e+03,1.128e+02,8.172e+03
13.9,3.271e+03,7.161e+03,1.224e+02,1.055e+04
15.4,4.116e+03,9.649e+03,1.186e+02,1.388e+04
17.0,5.007e+03,1.203e+04,1.206e+02,1.716e+04
18.5,5.709e+03,1.451e+04,1.337e+02,2.036e+04
20.0,5.215e+03,1.742e+04,1.039e+02,2.273e+04
21.6,4.204e+03,2.105e+04,1.152e+02,2.537e+04
23.1,4.597e+03,2.507e+04,1.297e+02,2.980e+04
24.7,5.173e+03,2.938e+04,1.334e+02,3.469e+04
26.2,6.793e+03,3.433e+04,1.417e+02,4.126e+04
27.7,6.156e+03,4.089e+04,1.189e+02,4.716e+04
29.3,6.096e+03,5.026e+04,1.089e+02,5.647e+04
30.8,5.139e+03,6.318e+04,1.191e+02,6.844e+04
32.4,4.255e+03,7.966e+04,1.427e+02,8.405e+04
33.9,5.190e+03,1.029e+05,2.094e+02,1.083e+05
35.4,4.835e+03,1.353e+05,3.112e+02,1.404e+05
37.0,3.755e+03,1.886e+05,5.601e+02,1.929e+05
38.5,4.242e+03,2.843e+05,1.145e+03,2.897e+05
40.1,4.502e+03,4.599e+05,2.823e+03,4.672e+05
41.6,3.338e+03,7.566e+05,6.510e+03,7.665e+05
43.1,3.760e+03,8.608e+05,9.461e+03,8.740e+05
44.7,3.479e+03,6.550e+05,1.001e+04,6.685e+05
46.2,3.712e+03,4.585e+05,1.288e+04,4.751e+05
47.8,3.985e+03,3.264e+05,1.363e+04,3.440e+05
49.3,5.543e+03,2.228e+05,1.172e+04,2.400e+05
50.9,5.413e+03,1.614e+05,9.011e+03,1.759e+05
52.4,3.870e+03,1.216e+05,9.334e+03,1.348e+05
53.9,3.618e+03,8.644e+04,1.098e+04,1.010e+05
55.5,5.195e+03,5.753e+04,1.389e+04,7.661e+04
57.0,7.409e+03,3.443e+04,2.121e+04,6.305e+04
58.6,5.643e+03,2.270e+04,2.984e+04,5.819e+04
60.1,5.316e+03,1.671e+04,3.914e+04,6.117e+04
61.6,4.312e+03,1.330e+04,5.064e+04,6.825e+04
63.2,3.570e+03,1.424e+04,5.638e+04,7.419e+04
64.7,4.641e+03,1.646e+04,5.995e+04,8.105e+04
66.3,5.591e+03,2.201e+04,6.772e+04,9.532e+04
67.8,5.440e+03,3.616e+04,8.536e+04,1.270e+05
69.3,6.857e+03,6.166e+04,1.111e+05,1.796e+05
70.9,7.054e+03,9.243e+04,1.310e+05,2.305e+05
72.4,7.416e+03,1.145e+05,1.313e+05,2.532e+05
74.0,8.526e+03,1.211e+05,1.122e+05,2.419e+05
75.5,8.632e+03,1.208e+05,9.263e+04,2.221e+05
77.1,9.807e+03,1.238e+05,8.234e+04,2.159e+05
78.6,1.226e+04,1.262e+05,7.438e+04,2.129e+05
80.1,1.184e+04,1.187e+05,6.419e+04,1.947e+05
81.7,7.234e+03,1.111e+05,5.575e+04,1.741e+05
83.2,7.934e+03,1.098e+05,5.019e+04,1.680e+05
84.8,6.669e+03,1.136e+05,4.737e+04,1.677e+05
86.3,5.768e+03,1.229e+05,4.717e+04,1.758e+05
87.8,5.108e+03,1.352e+05,4.718e+04,1.875e+05
89.4,5.113e+03,1.391e+05,4.411e+04,1.883e+05
90.9,4.195e+03,1.498e+05,4.410e+04,1.980e+05
92.5,5.512e+03,1.723e+05,4.960e+04,2.274e+05
94.0,7.917e+03,1.945e+05,5.712e+04,2.595e+05
95.5,1.037e+04,2.109e+05,6.434e+04,2.856e+05
97.1,1.179e+04,2.130e+05,6.519e+04,2.900e+05
98.6,1.130e+04,1.966e+05,5.861e+04,2.665e+05
100.2,1.032e+04,1.731e+05,4.847e+04,2.319e+05
101.7,8.928e+03,1.751e+05,4.206e+04,2.261e+05
103.2,6.295e+03,2.120e+05,4.301e+04,2.613e+05
104.8,4.050e+03,2.436e+05,4.605e+04,2.937e+05
106.3,3.634e+03,2.665e+05,4.860e+04,3.187e+05
107.9,4.497e+03,2.710e+05,4.816e+04,3.237e+05
109.4,3.915e+03,2.606e+05,4.630e+04,3.108e+05
111.0,4.134e+03,3.075e+05,5.020e+04,3.618e+05
112.5,5.147e+03,3.268e+05,5.208e+04,3.841e+05
114.0,7.288e+03,3.104e+05,4.581e+04,3.635e+05
115.6,9.129e+03,3.173e+05,4.246e+04,3.689e+05
117.1,9.297e+03,3.147e+05,4.121e+04,3.652e+05
118.7,1.011e+04,2.953e+05,3.687e+04,3.423e+05
120.2,8.788e+03,2.641e+05,3.026e+04,3.032e+05
121.7,8.054e+03,2.554e+05,2.666e+04,2.901e+05
123.3,1.126e+04,2.765e+05,2.697e+04,3.147e+05
124.8,8.086e+03,2.925e+05,2.869e+04,3.293e+05
126.4,6.613e+03,2.765e+05,2.819e+04,3.113e+05
127.9,5.018e+03,2.557e+05,2.741e+04,2.881e+05
129.4,3.420e+03,2.350e+05,2.647e+04,2.649e+05
131.0,3.023e+03,2.171e+05,2.464e+04,2.448e+05
132.5,2.639e+03,1.469e+05,1.650e+04,1.661e+05
134.1,1.615e+03,2.380e+04,2.790e+03,2.820e+04
135.6,2.101e+03,1.340e+03,3.064e+02,3.747e+03
137.2,1.933e+03,1.502e+03,4.037e+02,3.838e+03
138.7,1.936e+03,1.929e+03,5.341e+02,4.399e+03
140.2,2.304e+03,2.472e+03,5.507e+02,5.327e+03
141.8,2.333e+03,3.127e+03,6.851e+02,6.145e+03
143.3,3.397e+03,3.660e+03,7.597e+02,7.817e+03
144.9,2.647e+03,3.678e+03,6.622e+02,6.987e+03
146.4,2.595e+03,3.784e+03,6.910e+02,7.070e+03
147.9,2.338e+03,3.891e+03,6.056e+02,6.834e+03
149.5,2.268e+03,4.228e+03,6.207e+02,7.116e+03
151.0,2.395e+03,4.474e+03,6.509e+02,7.520e+03
152.6,2.470e+03,4.346e+03,6.305e+02,7.446e+03
154.1,2.444e+03,4.065e+03,6.334e+02,7.142e+03
155.6,2.542e+03,3.742e+03,5.993e+02,6.883e+03
157.2,2.365e+03,3.436e+03,5.048e+02,6.306e+03
158.7,2.124e+03,3.217e+03,4.671e+02,5.808e+03
160.3,2.090e+03,3.002e+03,4.426e+02,5.534e+03
161.8,1.928e+03,2.767e+03,3.889e+02,5.084e+03
163.3,2.053e+03,2.542e+03,3.470e+02,4.942e+03
164.9,2.045e+03,2.311e+03,3.102e+02,4.666e+03
166.4,1.785e+03,2.181e+03,2.748e+02,4.240e+03
168.0,1.418e+03,2.106e+03,2.562e+02,3.780e+03
169.5,1.268e+03,2.162e+03,2.167e+02,3.647e+03
171.1,1.180e+03,2.414e+03,2.186e+02,3.813e+03
172.6,1.097e+03,2.716e+03,2.266e+02,4.039e+03
174.1,1.072e+03,2.847e+03,2.120e+02,4.132e+03
175.7,9.942e+02,2.865e+03,1.889e+02,4.048e+03
177.2,1.015e+03,2.811e+03,1.569e+02,3.983e+03
178.8,1.099e+03,2.737e+03,1.393e+02,3.975e+03
180.3,1.069e+03,2.656e+03,1.474e+02,3.872e+03
181.8,1.115e+03,2.545e+03,1.554e+02,3.815e+03
183.4,1.277e+03,2.427e+03,1.491e+02,3.854e+03
184.9,1.256e+03,2.338e+03,1.518e+02,3.746e+03
186.5,1.101e+03,2.287e+03,1.392e+02,3.527e+03
188.0,9.649e+02,2.329e+03,1.180e+02,3.412e+03
189.5,8.957e+02,2.487e+03,1.377e+02,3.520e+03
191.1,1.089e+03,2.648e+03,1.551e+02,3.892e+03
192.6,1.435e+03,2.692e+03,1.546e+02,4.282e+03
194.2,1.577e+03,2.777e+03,1.981e+02,4.552e+03
195.7,1.650e+03,2.571e+03,1.589e+02,4.380e+03
197.3,1.897e+03,2.366e+03,1.452e+02,4.408e+03
198.8,2.028e+03,2.400e+03,1.579e+02,4.586e+03
