#time,accel_x,accel_y,accel_z
1723.704368,-296.082377,-74464.482406,2516.700203
1723.706922,592.164754,-74924.139704,-592.164754
1723.709476,-148.041188,-74004.825107,-592.164754
1723.712031,-1184.329507,-74004.825107,1628.453072
1723.714585,1776.494261,-74617.701505,2368.659014
1723.717139,-148.041188,-74464.482406,2072.576638
1723.719693,148.041188,-74770.920605,1628.453072
1723.722248,-444.123565,-74464.482406,-740.205942
1723.724802,-296.082377,-74158.044206,2812.782580
1723.727356,592.164754,-75077.358804,4145.153275
1723.729910,1036.288319,-73851.606007,2960.823768
1723.732465,148.041188,-74311.263306,1924.535449
1723.735019,740.205942,-73851.606007,1332.370696
1723.737573,-444.123565,-74158.044206,148.041188
1723.740127,-296.082377,-73851.606007,3256.906145
1723.742682,-2072.576638,-74617.701505,4293.194464
1723.745236,18949.272115,-75690.235202,-2960.823768
1723.747790,10658.965565,-71859.757712,-2960.823768
1723.750344,3701.029710,-74464.482406,-1628.453072
1723.752899,4589.276840,-74158.044206,444.123565
1723.755453,-8438.347739,-76456.330700,-2220.617826
1723.758007,444.123565,-75383.797003,-18209.066173
1723.760561,-8586.388927,-75537.016103,-9178.553681
1723.763116,6513.812290,-73851.606007,-1924.535449
1723.765670,15692.365970,-72012.976812,1628.453072
1723.768224,-3404.947333,-74158.044206,12731.542202
1723.770778,12583.501014,-75537.016103,-1628.453072
1723.773333,-3849.070898,-77375.645298,1628.453072
1723.775887,-9178.553681,-74311.263306,5477.523971
1723.778441,-11251.130318,-72319.415011,10658.965565
1723.780995,-2220.617826,-74311.263306,7550.100608
1723.783550,3701.029710,-74770.920605,4589.276840
1723.786104,2072.576638,-74311.263306,3701.029710
1723.788658,-6217.729913,-74311.263306,3997.112087
1723.791186,-8438.347739,-72932.291410,2960.823768
1723.793713,-5329.482782,-74617.701505,10658.965565
1723.796241,-5181.441594,-75383.797003,7698.141797
1723.798769,-148.041188,-75537.016103,6809.894666
1723.801297,-13619.789333,-72779.072310,740.205942
1723.803824,-7994.224174,-74158.044206,-2664.741391
1723.806352,1332.370696,-72932.291410,148.041188
1723.808880,-4885.359217,-75690.235202,6513.812290
1723.811407,-1332.370696,-73698.386908,1184.329507
1723.813935,12287.418637,-73391.948708,2516.700203
1723.816463,-17468.860231,-75230.577904,7550.100608
1723.818990,-9918.759623,-74617.701505,-2368.659014
1723.821518,12879.583391,-71706.538613,3404.947333
1723.824046,-7550.100608,-73698.386908,9326.594869
1723.826573,-0.000000,-72625.853210,9622.677246
1723.829101,-2220.617826,-75230.577904,16876.695478
1723.831629,-8290.306550,-74924.139704,4589.276840
1723.834156,-14211.954086,-74004.825107,-444.123565
1723.836684,4293.194464,-74004.825107,2664.741391
1723.839212,14508.036463,-72779.072310,-444.123565
1723.841739,-12583.501014,-73085.510509,148.041188
1723.844267,-2960.823768,-72625.853210,9178.553681
1723.846795,-2812.782580,-73698.386908,7698.141797
1723.849323,-5181.441594,-74924.139704,7846.182985
1723.851850,12435.459826,-76149.892501,7698.141797
1723.854378,-9178.553681,-74158.044206,7254.018232
1723.856906,-10807.006753,-72319.415011,2368.659014
1723.859433,19245.354492,-75383.797003,-3849.070898
1723.861961,2516.700203,-74770.920605,-15100.201217
1723.864489,-6217.729913,-71706.538613,2664.741391
1723.867016,15544.324782,-73851.606007,4145.153275
1723.869544,-3849.070898,-73545.167808,2812.782580
1723.872072,-1036.288319,-76609.549800,2664.741391
1723.874599,6661.853478,-76609.549800,-8142.265362
1723.877127,-7402.059420,-74617.701505,-9918.759623
1723.879655,2812.782580,-74311.263306,-0.000000
1723.882182,13323.706956,-72319.415011,1924.535449
1723.884710,2368.659014,-73545.167808,-1332.370696
1723.887238,8882.471304,-74311.263306,-2516.700203
1723.889766,2368.659014,-75230.577904,-3108.864956
1723.892301,-10955.047942,-74770.920605,1776.494261
1723.894836,1480.411884,-73698.386908,2368.659014
1723.897371,3997.112087,-71859.757712,-3108.864956
1723.899907,6217.729913,-72319.415011,-7550.100608
1723.902442,9770.718434,-75690.235202,-12139.377449
1723.904977,5477.523971,-72932.291410,3256.906145
1723.907512,-6661.853478,-75690.235202,6661.853478
1723.910047,7105.977043,-72625.853210,4885.359217
1723.912583,-15840.407159,-74770.920605,-6513.812290
1723.915118,9770.718434,-72166.195912,-17172.777854
1723.917653,2812.782580,-74158.044206,-4589.276840
1723.920188,17172.777854,-74464.482406,-5181.441594
1723.922724,6957.935855,-72779.072310,-5033.400406
1723.925259,2220.617826,-74004.825107,-4293.194464
1723.927794,2664.741391,-75077.358804,-7105.977043
1723.930329,10214.842000,-74004.825107,-5625.565159
1723.932865,4293.194464,-73851.606007,-740.205942
1723.935400,1776.494261,-73698.386908,4737.318029
1723.937935,4293.194464,-74004.825107,148.041188
1723.940470,1776.494261,-73545.167808,-2960.823768
1723.943006,3552.988522,-75843.454302,-5625.565159
1723.945541,12583.501014,-75230.577904,-7402.059420
1723.948076,6069.688724,-74311.263306,-5329.482782
1723.950611,-7698.141797,-72319.415011,2220.617826
1723.953147,10955.047942,-71706.538613,296.082377
1723.955682,-10807.006753,-73085.510509,7550.100608
1723.958217,5329.482782,-75690.235202,-2072.576638
1723.960752,-13619.789333,-76915.987999,18061.024985
1723.963288,8882.471304,-74158.044206,2812.782580
1723.965823,-5921.647536,-74311.263306,8882.471304
1723.968358,-4441.235652,-74617.701505,-148.041188
1723.970893,-8142.265362,-72779.072310,8438.347739
1723.973429,-6661.853478,-74464.482406,7105.977043
1723.975964,444.123565,-74158.044206,6513.812290
1723.978499,1036.288319,-75383.797003,4737.318029
1723.981034,6661.853478,-74004.825107,1332.370696
1723.983570,-12583.501014,-73698.386908,5625.565159
1723.986105,-6661.853478,-74004.825107,4441.235652
1723.988640,1776.494261,-73391.948708,7994.224174
1723.991175,1036.288319,-75077.358804,9178.553681
1723.993718,9622.677246,-74464.482406,2812.782580
1723.996259,3997.112087,-69867.909418,-2072.576638
1723.998801,-296.082377,-72932.291410,-9178.553681
1724.001343,4885.359217,-73238.729609,17764.942608
1724.003885,-13175.665768,-76149.892501,7105.977043
1724.006427,3256.906145,-73851.606007,-5477.523971
1724.008969,-23242.466579,-74770.920605,13175.665768
1724.011510,-5477.523971,-73698.386908,-592.164754
1724.014052,11695.253884,-71706.538613,4589.276840
1724.016594,-18357.107362,-74158.044206,11991.336260
1724.019136,-3701.029710,-72319.415011,17320.819043
1724.021678,-10066.800811,-75690.235202,17616.901420
1724.024220,444.123565,-75077.358804,4441.235652
1724.026761,-19245.354492,-75996.673402,2812.782580
1724.029303,-888.247130,-74004.825107,-2220.617826
1724.031845,12435.459826,-73238.729609,-4589.276840
1724.034387,-25167.002028,-74464.482406,2220.617826
1724.036929,8290.306550,-72319.415011,14211.954086
1724.039471,-3701.029710,-74770.920605,15840.407159
1724.042012,-4885.359217,-74617.701505,8290.306550
1724.044554,10658.965565,-76915.987999,8586.388927
1724.047096,-5921.647536,-74464.482406,9770.718434
1724.049638,-6809.894666,-72932.291410,-7402.059420
1724.052180,20577.725188,-75077.358804,-8734.430116
1724.054722,-8142.265362,-74004.825107,-15100.201217
1724.057263,17024.736666,-72166.195912,7105.977043
1724.059805,3256.906145,-72625.853210,-2368.659014
1724.062347,-888.247130,-72319.415011,2220.617826
1724.064889,7846.182985,-75690.235202,2812.782580
1724.067431,-1628.453072,-77682.083497,-2516.700203
