#time,accel_x,accel_y,accel_z
1037.454171,-650.847747,76.570323,-8958.727814
1037.456616,-727.418070,38.285162,-9054.440718
1037.459061,-803.988394,57.427742,-9073.583299
1037.461507,-1282.552914,-2067.398726,-8997.012976
1037.463952,1914.258080,-1646.261949,-8729.016845
1037.466397,-1301.695494,1110.269686,-8997.012976
1037.468842,-2048.256146,-1416.550979,-8920.442653
1037.471288,-976.271621,325.423874,-8997.012976
1037.473733,-2297.109696,-2048.256146,-8901.300072
1037.476178,-803.988394,-76.570323,-8901.300072
1037.478624,-2220.539373,-708.275490,-8843.872330
1037.481069,-842.273555,555.134843,-9111.868461
1037.483514,-1091.127106,-76.570323,-9092.725880
1037.486006,191.425808,306.281293,-9092.725880
1037.488498,95.712904,-210.568389,-9073.583299
1037.490991,-784.845813,-1550.549045,-9073.583299
1037.493483,-1339.980656,153.140646,-8882.157491
1037.495975,-1971.685822,918.843878,-8939.585234
1037.498467,-842.273555,2584.248408,-9131.011042
1037.500959,210.568389,555.134843,-9341.579430
1037.503452,1110.269686,133.998066,-9207.581365
1037.505944,-172.283227,-1550.549045,-9111.868461
1037.508436,267.996131,0.000000,-9016.155557
1037.510928,-382.851616,1435.693560,-9016.155557
1037.513420,-880.558717,1301.695494,-9073.583299
1037.515912,-516.849682,114.855485,-9073.583299
1037.518405,-1110.269686,287.138712,-9379.864592
1037.520897,555.134843,229.710970,-8939.585234
1037.523389,-746.560651,957.129040,-9188.438784
1037.525881,-1091.127106,612.562586,-9169.296203
1037.528373,-516.849682,248.853550,-8805.587168
1037.530865,-1416.550979,1454.836141,-9456.434915
1037.533358,-2086.541307,267.996131,-9609.575562
1037.535850,880.558717,918.843878,-8997.012976
1037.538342,-191.425808,-555.134843,-8997.012976
1037.540834,1186.840010,1588.834206,-8977.870395
1037.543326,-765.703232,19.142581,-9226.723946
1037.545818,574.277424,-306.281293,-9341.579430
1037.548311,57.427742,1148.554848,-8958.727814
1037.550803,-1359.123237,-153.140646,-9035.298138
1037.553295,-784.845813,1512.263883,-8977.870395
1037.555787,-593.420005,516.849682,-9035.298138
1037.558279,497.707101,478.564520,-9245.866526
1037.560772,38.285162,-248.853550,-9303.294269
1037.563264,555.134843,-593.420005,-8977.870395
1037.565756,-344.566454,861.416136,-8920.442653
1037.568248,210.568389,1837.687757,-9073.583299
1037.570740,344.566454,2411.965181,-9131.011042
1037.573232,95.712904,-57.427742,-9073.583299
1037.575725,-1148.554848,-2450.250342,-8997.012976
1037.578217,-440.279358,-2699.103893,-9073.583299
1037.580709,-1818.545176,-421.136778,-9035.298138
1037.583201,-2086.541307,-19.142581,-8786.444587
1037.585616,-1071.984525,2182.254211,-8958.727814
1037.588031,-1665.404530,-574.277424,-9207.581365
1037.590445,95.712904,-823.130974,-9188.438784
1037.592860,-784.845813,-1627.119368,-8958.727814
1037.595275,-631.705166,-612.562586,-8920.442653
1037.597690,-1435.693560,-267.996131,-8863.014910
1037.600104,-1493.121302,344.566454,-8977.870395
1037.602519,-1646.261949,708.275490,-9150.153622
1037.604934,-1454.836141,-612.562586,-9111.868461
1037.607348,-1033.699363,-1129.412267,-8901.300072
1037.609763,-1588.834206,-861.416136,-8901.300072
1037.612178,-1052.841944,-401.994197,-8920.442653
1037.614593,-1320.838075,1071.984525,-9188.438784
1037.617007,-1263.410333,382.851616,-9016.155557
1037.619422,-3043.670347,937.986459,-9399.007173
1037.621837,-4594.219392,-2086.541307,-9207.581365
1037.624252,-344.566454,210.568389,-9150.153622
1037.626666,-172.283227,-3196.810994,-8901.300072
1037.629081,1110.269686,727.418070,-8690.731683
1037.631496,-2411.965181,-2660.818731,-8939.585234
1037.633911,-708.275490,1033.699363,-9054.440718
1037.636325,-2679.961312,-1091.127106,-9035.298138
1037.638740,-1186.840010,574.277424,-8882.157491
1037.641155,-1761.117434,-229.710970,-8767.302006
1037.643569,-765.703232,-401.994197,-9169.296203
1037.645984,172.283227,-478.564520,-9131.011042
1037.648399,-937.986459,-842.273555,-9035.298138
1037.650814,-1167.697429,-1282.552914,-8977.870395
1037.653228,-1378.265818,-497.707101,-8767.302006
1037.655643,-2277.967115,267.996131,-9016.155557
1037.658058,-1148.554848,1091.127106,-9035.298138
1037.660473,-689.132909,-172.283227,-9092.725880
1037.662887,-1799.402595,-2029.113565,-9169.296203
1037.665302,-708.275490,-1531.406464,-8997.012976
1037.667717,-689.132909,95.712904,-9035.298138
1037.670132,382.851616,516.849682,-9035.298138
1037.672546,-976.271621,1129.412267,-8977.870395
1037.674961,555.134843,2029.113565,-9092.725880
1037.677376,765.703232,1990.828403,-9284.151688
1037.679791,708.275490,-803.988394,-9303.294269
1037.682258,-382.851616,-229.710970,-9016.155557
1037.684726,-1799.402595,-1569.691626,-8939.585234
1037.687193,-478.564520,1397.408398,-8920.442653
1037.689661,-861.416136,2029.113565,-9188.438784
1037.692129,727.418070,1473.978722,-9188.438784
1037.694596,995.414202,-1148.554848,-9073.583299
1037.697064,210.568389,-1205.982590,-9073.583299
1037.699531,-325.423874,38.285162,-8997.012976
1037.701999,-133.998066,1569.691626,-9016.155557
1037.704467,-401.994197,803.988394,-9092.725880
1037.706934,-497.707101,2354.537438,-9513.862658
1037.709402,-1244.267752,306.281293,-9054.440718
1037.711869,-2545.963246,-937.986459,-9245.866526
1037.714337,-1627.119368,133.998066,-9265.009107
1037.716805,382.851616,2086.541307,-8882.157491
1037.719272,-1799.402595,-1952.543242,-8901.300072
1037.721740,2277.967115,1856.830338,-9092.725880
1037.724207,-497.707101,-1454.836141,-9111.868461
1037.726675,631.705166,114.855485,-9303.294269
1037.729143,114.855485,1780.260014,-9111.868461
1037.731610,-440.279358,-842.273555,-9054.440718
1037.734078,842.273555,1225.125171,-8977.870395
1037.736545,-2067.398726,-823.130974,-9150.153622
1037.739013,38.285162,899.701298,-9169.296203
1037.741481,-306.281293,1244.267752,-9226.723946
1037.743948,267.996131,650.847747,-9111.868461
1037.746416,-497.707101,-38.285162,-9016.155557
1037.748883,-650.847747,-1512.263883,-9111.868461
1037.751351,-76.570323,574.277424,-9150.153622
1037.753819,287.138712,2277.967115,-9207.581365
1037.756286,823.130974,2756.531635,-9245.866526
1037.758754,-478.564520,-57.427742,-8958.727814
1037.761221,-918.843878,-2431.107762,-8939.585234
1037.763689,-19.142581,-3043.670347,-9054.440718
1037.766157,-2488.535504,-823.130974,-9016.155557
1037.768624,-3445.664544,555.134843,-8882.157491
1037.771092,-1052.841944,2699.103893,-8882.157491
1037.773559,-1091.127106,-1167.697429,-9092.725880
1037.776027,210.568389,-669.990328,-9131.011042
1037.778494,-784.845813,-1933.400661,-9054.440718
1037.781000,-593.420005,-937.986459,-9016.155557
1037.783505,-1033.699363,133.998066,-8824.729749
1037.786010,-2086.541307,689.132909,-8863.014910
1037.788515,-2009.970984,344.566454,-9035.298138
1037.791020,-1837.687757,-1052.841944,-9284.151688
1037.793525,-708.275490,-593.420005,-9111.868461
1037.796030,-1301.695494,-631.705166,-8901.300072
1037.798535,-612.562586,-995.414202,-8614.161360
1037.801040,-1741.974853,133.998066,-9054.440718
1037.803545,-535.992262,-765.703232,-9092.725880
1037.806050,516.849682,-306.281293,-9073.583299
1037.808555,-727.418070,-172.283227,-9150.153622
1037.811060,-229.710970,-1914.258080,-8633.303941
1037.813565,306.281293,-153.140646,-8690.731683
1037.816070,-2947.957443,-1473.978722,-9131.011042
1037.818575,-574.277424,937.986459,-8901.300072
1037.821080,-2775.674216,-899.701298,-9245.866526
1037.823585,-1339.980656,229.710970,-9016.155557
1037.826090,-1148.554848,803.988394,-8843.872330
1037.828595,-1454.836141,-1110.269686,-9188.438784
1037.831100,-210.568389,-172.283227,-9016.155557
1037.833605,-555.134843,-1703.689691,-8997.012976
1037.836110,-1512.263883,0.000000,-9016.155557
1037.838615,-2067.398726,248.853550,-8958.727814
1037.841120,-1607.976787,1167.697429,-8958.727814
1037.843625,-1761.117434,133.998066,-9054.440718
1037.846130,-842.273555,-1473.978722,-9092.725880
1037.848635,-1282.552914,-1933.400661,-9016.155557
1037.851140,-1167.697429,-114.855485,-9016.155557
1037.853645,-880.558717,267.996131,-9054.440718
1037.856150,-191.425808,-650.847747,-9073.583299
1037.858655,880.558717,3062.812928,-9054.440718
1037.861160,-248.853550,363.709035,-9169.296203
1037.863665,1665.404530,1761.117434,-9131.011042
1037.866170,-765.703232,-1531.406464,-9303.294269
1037.868675,0.000000,-459.421939,-8958.727814
1037.871180,-2622.533570,-593.420005,-9035.298138
1037.873685,-765.703232,2373.680019,-9054.440718
1037.876190,-478.564520,2067.398726,-9265.009107
1037.878695,880.558717,287.138712,-9188.438784
1037.881151,1071.984525,-995.414202,-9054.440718
1037.883607,-459.421939,-1205.982590,-9016.155557
1037.886062,248.853550,823.130974,-8939.585234
1037.888518,-612.562586,1531.406464,-9035.298138
1037.890974,-727.418070,1684.547110,-9399.007173
1037.893429,-287.138712,1550.549045,-9054.440718
1037.895885,-3101.098090,-459.421939,-9131.011042
1037.898341,-363.709035,-708.275490,-9226.723946
1037.900796,1225.125171,3503.092286,-9016.155557
1037.903252,-3771.088418,-114.855485,-9035.298138
1037.905708,1301.695494,229.710970,-8997.012976
1037.908163,-57.427742,114.855485,-9399.007173
1037.910619,823.130974,-363.709035,-9399.007173
1037.913074,689.132909,1263.410333,-8920.442653
1037.915530,-497.707101,-880.558717,-8939.585234
1037.917986,459.421939,2297.109696,-8901.300072
1037.920441,-1531.406464,363.709035,-9188.438784
1037.922897,976.271621,1148.554848,-9322.436850
1037.925353,-669.990328,727.418070,-9284.151688
1037.927808,325.423874,-133.998066,-9131.011042
1037.930264,-1033.699363,-363.709035,-8767.302006
1037.932720,-497.707101,-287.138712,-8901.300072
1037.935175,38.285162,1703.689691,-9111.868461
1037.937631,229.710970,1722.832272,-9341.579430
