#time,accel_x,accel_y,accel_z
1594.447564,3256.906145,-73698.386908,2368.659014
1594.450184,148.041188,-74158.044206,888.247130
1594.452804,-2368.659014,-74158.044206,296.082377
1594.455424,592.164754,-74464.482406,148.041188
1594.458044,-444.123565,-74311.263306,2072.576638
1594.460664,-1184.329507,-74158.044206,2664.741391
1594.463284,2368.659014,-74004.825107,1924.535449
1594.465904,-592.164754,-74311.263306,740.205942
1594.468524,-3108.864956,-74158.044206,-740.205942
1594.471144,-1332.370696,-74464.482406,2220.617826
1594.473764,4441.235652,-73698.386908,2516.700203
1594.476384,1036.288319,-74770.920605,740.205942
1594.479004,-2812.782580,-74004.825107,444.123565
1594.481624,-11399.171507,-75383.797003,-1184.329507
1594.484244,17468.860231,-73085.510509,2072.576638
1594.486864,888.247130,-75843.454302,7994.224174
1594.489484,2516.700203,-74924.139704,10658.965565
1594.492104,15988.448347,-74311.263306,6957.935855
1594.494724,2516.700203,-74770.920605,5181.441594
1594.497344,12879.583391,-75230.577904,5773.606348
1594.499964,8290.306550,-73545.167808,8882.471304
1594.502584,5773.606348,-73545.167808,7550.100608
1594.505204,-2220.617826,-74311.263306,5329.482782
1594.507824,-5477.523971,-74311.263306,1924.535449
1594.510444,1036.288319,-74311.263306,-1184.329507
1594.513064,592.164754,-74464.482406,2072.576638
1594.515684,9178.553681,-73391.948708,1776.494261
1594.518304,-8142.265362,-75077.358804,-3404.947333
1594.520924,-13027.624579,-74770.920605,-4145.153275
1594.523542,-5625.565159,-75383.797003,-3552.988522
1594.526159,-9178.553681,-73545.167808,-1628.453072
1594.528777,1776.494261,-72472.634111,-888.247130
1594.531394,3256.906145,-74004.825107,2664.741391
1594.534012,-1480.411884,-75537.016103,592.164754
1594.536629,2960.823768,-74924.139704,-1036.288319
1594.539247,-8290.306550,-74004.825107,-3701.029710
1594.541864,-12139.377449,-75077.358804,2220.617826
1594.544482,2812.782580,-73391.948708,6957.935855
1594.547099,5181.441594,-72012.976812,-6365.771101
1594.549716,-6957.935855,-72166.195912,1332.370696
1594.552334,1776.494261,-75843.454302,6809.894666
1594.554951,-3256.906145,-77375.645298,-8438.347739
1594.557569,-22502.260637,-74924.139704,444.123565
1594.560186,1036.288319,-73545.167808,1184.329507
1594.562804,-5625.565159,-74464.482406,-2664.741391
1594.565421,592.164754,-75383.797003,-2516.700203
1594.568039,6661.853478,-75843.454302,-6217.729913
1594.570656,-13619.789333,-75230.577904,-1924.535449
1594.573274,4589.276840,-73851.606007,296.082377
1594.575891,-14359.995275,-74004.825107,-444.123565
1594.578509,-13323.706956,-73698.386908,2516.700203
1594.581126,7254.018232,-74464.482406,-3997.112087
1594.583744,148.041188,-74311.263306,-3997.112087
1594.586361,5033.400406,-75383.797003,-148.041188
1594.588979,-13027.624579,-74617.701505,296.082377
1594.591596,-11843.295072,-74158.044206,-3849.070898
1594.594214,-11399.171507,-73851.606007,-1776.494261
1594.596831,10214.842000,-71246.881314,6809.894666
1594.599448,-1480.411884,-74464.482406,13027.624579
1594.602066,5033.400406,-75077.358804,-444.123565
1594.604683,-2960.823768,-77988.521696,2220.617826
1594.607301,13619.789333,-74770.920605,9918.759623
1594.609918,-7994.224174,-73545.167808,6661.853478
1594.612536,7846.182985,-73391.948708,2664.741391
1594.615153,-1332.370696,-74770.920605,3404.947333
1594.617771,9326.594869,-72472.634111,3256.906145
1594.620388,7550.100608,-72625.853210,8290.306550
1594.623006,3256.906145,-74158.044206,10214.842000
1594.625623,-1628.453072,-76149.892501,4293.194464
1594.628237,-5033.400406,-75077.358804,2516.700203
1594.630850,6217.729913,-73698.386908,740.205942
1594.633463,1776.494261,-73085.510509,2960.823768
1594.636077,4589.276840,-73545.167808,3701.029710
1594.638690,1332.370696,-75843.454302,6809.894666
1594.641304,-1332.370696,-73698.386908,5477.523971
1594.643917,-5033.400406,-77835.302597,14656.077652
1594.646530,21021.848753,-75996.673402,14063.912898
1594.649144,8438.347739,-76303.111601,-6661.853478
1594.651757,-6957.935855,-73085.510509,296.082377
1594.654371,10362.883188,-73391.948708,2812.782580
1594.656984,-15692.365970,-74770.920605,1036.288319
1594.659597,12139.377449,-75383.797003,6809.894666
1594.662211,-13915.871710,-75383.797003,1776.494261
1594.664824,3997.112087,-71553.319513,6069.688724
1594.667437,10807.006753,-73085.510509,14952.160028
1594.670051,444.123565,-73545.167808,11399.171507
1594.672664,1332.370696,-75996.673402,5625.565159
1594.675278,5033.400406,-76303.111601,444.123565
1594.677891,444.123565,-73851.606007,-592.164754
1594.680504,1480.411884,-73085.510509,1776.494261
1594.683118,10066.800811,-71859.757712,6957.935855
1594.685731,9622.677246,-72472.634111,12731.542202
1594.688345,7402.059420,-74311.263306,14952.160028
1594.690958,-3849.070898,-76915.987999,7846.182985
1594.693571,-2368.659014,-78448.178995,-888.247130
1594.696185,16136.489536,-73391.948708,4737.318029
1594.698798,296.082377,-71246.881314,5329.482782
1594.701412,-4589.276840,-71859.757712,4293.194464
1594.704025,-14359.995275,-75843.454302,-8882.471304
1594.706638,-8586.388927,-75690.235202,1036.288319
1594.709252,4293.194464,-75230.577904,740.205942
