#time,accel_x,accel_y,accel_z
1075.248606,3701.029710,-73851.606007,1036.288319
1075.251171,-1776.494261,-74311.263306,2812.782580
1075.253736,888.247130,-74311.263306,1332.370696
1075.256300,-1332.370696,-74770.920605,444.123565
1075.258865,-4885.359217,-74311.263306,3108.864956
1075.261430,4441.235652,-74158.044206,3256.906145
1075.263995,1332.370696,-73851.606007,296.082377
1075.266559,-2220.617826,-74311.263306,1924.535449
1075.269124,1628.453072,-74158.044206,444.123565
1075.271689,-1480.411884,-74158.044206,3108.864956
1075.274253,1776.494261,-74464.482406,2368.659014
1075.276818,4589.276840,-74770.920605,888.247130
1075.279383,-1776.494261,-74004.825107,888.247130
1075.281948,-1628.453072,-73391.948708,1036.288319
1075.284512,1184.329507,-74311.263306,1628.453072
1075.287077,1036.288319,-73698.386908,2516.700203
1075.289642,1776.494261,-74311.263306,888.247130
1075.292206,-2812.782580,-73851.606007,-0.000000
1075.294771,-2516.700203,-74311.263306,3108.864956
1075.297336,1480.411884,-74617.701505,2220.617826
1075.299901,1184.329507,-73698.386908,1628.453072
1075.302465,9030.512492,-74770.920605,1924.535449
1075.305030,-9030.512492,-75077.358804,-3701.029710
1075.307595,12287.418637,-72166.195912,2960.823768
1075.310159,15988.448347,-76149.892501,7550.100608
1075.312724,-740.205942,-74770.920605,12435.459826
1075.315289,5625.565159,-74004.825107,5477.523971
1075.317853,1480.411884,-74004.825107,-1184.329507
1075.320418,5921.647536,-73391.948708,1184.329507
1075.322983,6661.853478,-72779.072310,8142.265362
1075.325548,10510.924376,-71859.757712,9770.718434
1075.328112,-6809.894666,-74158.044206,7105.977043
1075.330677,-1924.535449,-75690.235202,-592.164754
1075.333242,592.164754,-75843.454302,-8290.306550
1075.335806,-1332.370696,-72932.291410,-0.000000
1075.338371,8142.265362,-71706.538613,2960.823768
1075.340936,-7550.100608,-73851.606007,888.247130
1075.343501,-6513.812290,-75230.577904,-444.123565
1075.346061,-12139.377449,-75843.454302,-2812.782580
1075.348621,-6809.894666,-74311.263306,-1924.535449
1075.351181,740.205942,-73698.386908,-4441.235652
1075.353741,592.164754,-73085.510509,444.123565
1075.356301,2220.617826,-74464.482406,2812.782580
1075.358861,-13323.706956,-76915.987999,2960.823768
1075.361421,-3701.029710,-76149.892501,-444.123565
1075.363981,-17024.736666,-76915.987999,3256.906145
1075.366541,-3701.029710,-73698.386908,7402.059420
1075.369101,9622.677246,-72166.195912,-6069.688724
1075.371661,444.123565,-73545.167808,2664.741391
1075.374221,-7994.224174,-74311.263306,4589.276840
1075.376781,9030.512492,-77069.207099,3997.112087
1075.379341,-17912.983796,-76149.892501,-2368.659014
1075.381902,6365.771101,-74770.920605,-1332.370696
1075.384462,148.041188,-73545.167808,-4885.359217
1075.387022,-2812.782580,-74158.044206,-296.082377
1075.389582,6217.729913,-75077.358804,-3997.112087
1075.392142,-12879.583391,-74311.263306,-1480.411884
1075.394702,-4293.194464,-74464.482406,-1184.329507
1075.397262,-7846.182985,-74770.920605,-1628.453072
1075.399822,-10362.883188,-74004.825107,1480.411884
1075.402382,1924.535449,-74311.263306,-3997.112087
1075.404942,4589.276840,-72166.195912,-1776.494261
1075.407502,2664.741391,-73851.606007,3849.070898
1075.410062,-18061.024985,-75537.016103,-1628.453072
1075.412622,-5181.441594,-74924.139704,444.123565
1075.415182,-12583.501014,-75537.016103,-2072.576638
1075.417742,13027.624579,-72319.415011,296.082377
1075.420302,148.041188,-72472.634111,-888.247130
1075.422863,5033.400406,-73851.606007,1924.535449
1075.425423,-1332.370696,-75690.235202,4589.276840
1075.427983,-1332.370696,-72472.634111,22650.301825
1075.430543,-2072.576638,-75690.235202,1036.288319
1075.433103,5033.400406,-78294.959896,-9030.512492
1075.435663,7550.100608,-75383.797003,-5329.482782
1075.438223,10510.924376,-69255.033019,5477.523971
1075.440783,4441.235652,-68335.718422,16136.489536
1075.443343,2072.576638,-74311.263306,17912.983796
1075.445903,1184.329507,-78754.617194,3552.988522
1075.448327,-1776.494261,-77222.426198,-2812.782580
1075.450751,10955.047942,-72625.853210,1628.453072
1075.453176,4737.318029,-70787.224015,4885.359217
1075.455600,6217.729913,-72472.634111,4737.318029
1075.458024,9770.718434,-74924.139704,4441.235652
1075.460448,-3701.029710,-76303.111601,6957.935855
1075.462873,1184.329507,-79520.712692,11399.171507
1075.465297,19393.395680,-76609.549800,15692.365970
1075.467721,32717.102636,-73851.606007,6661.853478
1075.470145,-16876.695478,-72779.072310,2960.823768
1075.472569,13027.624579,-72472.634111,1628.453072
1075.474994,-6809.894666,-74004.825107,592.164754
1075.477418,12287.418637,-77682.083497,7698.141797
1075.479842,-2664.741391,-77528.864398,6513.812290
1075.482266,17764.942608,-72779.072310,12287.418637
1075.484691,7550.100608,-72012.976812,9030.512492
1075.487115,-1628.453072,-74158.044206,8438.347739
1075.489539,7698.141797,-76762.768900,592.164754
1075.491963,-4145.153275,-76456.330700,-1776.494261
1075.494387,6809.894666,-72472.634111,-1924.535449
1075.496812,444.123565,-72319.415011,2516.700203
1075.499236,9918.759623,-71859.757712,10214.842000
1075.501660,9770.718434,-72166.195912,12139.377449
1075.504084,1776.494261,-75077.358804,11991.336260
1075.506508,740.205942,-76456.330700,14656.077652
1075.508933,-4145.153275,-77528.864398,-5625.565159
1075.511357,12287.418637,-74924.139704,148.041188
1075.513781,-1036.288319,-72625.853210,-2960.823768
1075.516205,-6513.812290,-70634.004916,-1628.453072
1075.518630,-7846.182985,-75537.016103,-5921.647536
1075.521054,-15544.324782,-72779.072310,1776.494261
1075.523478,8290.306550,-75077.358804,1332.370696
1075.525902,-23686.590144,-76303.111601,-4441.235652
1075.528326,1332.370696,-75690.235202,-2664.741391
1075.530751,-0.000000,-73698.386908,-3552.988522
1075.533175,-5773.606348,-72166.195912,740.205942
1075.535599,10658.965565,-73545.167808,-1036.288319
1075.538023,-13915.871710,-75690.235202,-1480.411884
1075.540448,-9770.718434,-74617.701505,-4145.153275
1075.542872,-6809.894666,-74158.044206,-3701.029710
1075.545342,-2368.659014,-73851.606007,-2368.659014
1075.547810,444.123565,-74158.044206,592.164754
1075.550278,444.123565,-74617.701505,-1480.411884
1075.552746,-11251.130318,-73391.948708,-296.082377
1075.555215,2368.659014,-77682.083497,6365.771101
1075.557683,-9918.759623,-74311.263306,5181.441594
1075.560151,1480.411884,-72932.291410,-3849.070898
1075.562619,-5181.441594,-71706.538613,-740.205942
1075.565087,17172.777854,-72625.853210,1628.453072
1075.567556,-20873.807564,-74924.139704,-6217.729913
